x,y
-10.9982,-1.4833
-10.9713,-1.4847
-10.9463,-1.4854
-10.9213,-1.4864
-10.8963,-1.4876
-10.8736,-1.4773
-10.8508,-1.4670
-10.8279,-1.4569
-10.8050,-1.4468
-10.7821,-1.4368
-10.7596,-1.4260
-10.7370,-1.4153
-10.7144,-1.4046
-10.6917,-1.3941
-10.6691,-1.3833
-10.6457,-1.3747
-10.6225,-1.3654
-10.5995,-1.3555
-10.5766,-1.3456
-10.5538,-1.3353
-10.5292,-1.3309
-10.5047,-1.3259
-10.4803,-1.3201
-10.4561,-1.3138
-10.4320,-1.3072
-10.4080,-1.3003
-10.3840,-1.2932
-10.3601,-1.2859
-10.3413,-1.2694
-10.3190,-1.2582
-10.2940,-1.2584
-10.2690,-1.2574
-10.2447,-1.2515
-10.2207,-1.2447
-10.1968,-1.2373
-10.1725,-1.2313
-10.1484,-1.2246
-10.1245,-1.2175
-10.1007,-1.2098
-10.0770,-1.2018
-10.0535,-1.1934
-10.0300,-1.1847
-10.0067,-1.1758
-9.9868,-1.1605
-9.9647,-1.1488
-9.9403,-1.1540
-9.9211,-1.1701
-9.9102,-1.1926
-9.8959,-1.1720
-9.8787,-1.1539
-9.8568,-1.1417
-9.8435,-1.1206
-9.8232,-1.1061
-9.7997,-1.0975
-9.7749,-1.0945
-9.7772,-1.0696
-9.7757,-1.0447
-9.7664,-1.0215
-9.7491,-1.0034
-9.7264,-1.0139
-9.7100,-1.0328
-9.6851,-1.0305
-9.6601,-1.0315
-9.6366,-1.0398
-9.6161,-1.0542
-9.6150,-1.0292
-9.6091,-1.0049
-9.5861,-0.9951
-9.5622,-0.9876
-9.5376,-0.9918
-9.5145,-1.0014
-9.5150,-0.9764
-9.5138,-0.9514
-9.4918,-0.9395
-9.4713,-0.9251
-9.4469,-0.9301
-9.4235,-0.9391
-9.4020,-0.9264
-9.3772,-0.9237
-9.3523,-0.9208
-9.3275,-0.9178
-9.3027,-0.9146
-9.2779,-0.9114
-9.2532,-0.9079
-9.2284,-0.9043
-9.2037,-0.9005
-9.1790,-0.8966
-9.1544,-0.8925
-9.1297,-0.8883
-9.1051,-0.8839
-9.0807,-0.8787
-9.0562,-0.8735
-9.0318,-0.8683
-9.0073,-0.8630
-8.9829,-0.8578
-8.9584,-0.8525
-8.9340,-0.8473
-8.9096,-0.8419
-8.8852,-0.8366
-8.8608,-0.8309
-8.8365,-0.8253
-8.8121,-0.8196
-8.7877,-0.8140
-8.7634,-0.8083
-8.7391,-0.8026
-8.7147,-0.7969
-8.6904,-0.7912
-8.6660,-0.7855
-8.6417,-0.7796
-8.6174,-0.7737
-8.5931,-0.7678
-8.5689,-0.7619
-8.5446,-0.7560
-8.5203,-0.7501
-8.4960,-0.7442
-8.4717,-0.7383
-8.4474,-0.7322
-8.4232,-0.7262
-8.3989,-0.7201
-8.3747,-0.7141
-8.3504,-0.7080
-8.3261,-0.7020
-8.3019,-0.6959
-8.2776,-0.6898
-8.2534,-0.6838
-8.2292,-0.6776
-8.2049,-0.6715
-8.1807,-0.6653
-8.1565,-0.6592
-8.1322,-0.6530
-8.1080,-0.6468
-8.0838,-0.6407
-8.0596,-0.6345
-8.0353,-0.6283
-8.0111,-0.6220
-7.9869,-0.6158
-7.9627,-0.6096
-7.9385,-0.6033
-7.9143,-0.5971
-7.8901,-0.5908
-7.8659,-0.5846
-7.8417,-0.5783
-7.8175,-0.5720
-7.7933,-0.5657
-7.7691,-0.5594
-7.7449,-0.5531
-7.7207,-0.5468
-7.6965,-0.5405
-7.6723,-0.5341
-7.6482,-0.5278
-7.6240,-0.5214
-7.5998,-0.5151
-7.5756,-0.5087
-7.5515,-0.5024
-7.5273,-0.4960
-7.5031,-0.4896
-7.4789,-0.4832
-7.4548,-0.4768
-7.4306,-0.4704
-7.4064,-0.4640
-7.3823,-0.4576
-7.3581,-0.4512
-7.3339,-0.4448
-7.3098,-0.4384
-7.2856,-0.4320
-7.2615,-0.4255
-7.2373,-0.4191
-7.2132,-0.4126
-7.1890,-0.4062
-7.1648,-0.3997
-7.1407,-0.3933
-7.1165,-0.3868
-7.0924,-0.3804
-7.0682,-0.3739
-7.0441,-0.3674
-7.0200,-0.3609
-6.9958,-0.3544
-6.9717,-0.3480
-6.9475,-0.3415
-6.9234,-0.3350
-6.8992,-0.3285
-6.8751,-0.3220
-6.8510,-0.3155
-6.8268,-0.3089
-6.8027,-0.3024
-6.7786,-0.2959
-6.7544,-0.2894
-6.7303,-0.2828
-6.7062,-0.2763
-6.6820,-0.2698
-6.6579,-0.2632
-6.6338,-0.2567
-6.6096,-0.2501
-6.5855,-0.2436
-6.5614,-0.2370
-6.5373,-0.2305
-6.5131,-0.2239
-6.4890,-0.2173
-6.4649,-0.2108
-6.4408,-0.2042
-6.4167,-0.1976
-6.3925,-0.1911
-6.3684,-0.1845
-6.3443,-0.1779
-6.3202,-0.1713
-6.2961,-0.1647
-6.2720,-0.1581
-6.2478,-0.1515
-6.2237,-0.1449
-6.1996,-0.1383
-6.1755,-0.1317
-6.1514,-0.1251
-6.1273,-0.1185
-6.1032,-0.1119
-6.0791,-0.1052
-6.0550,-0.0986
-6.0309,-0.0920
-6.0068,-0.0854
-5.9826,-0.0787
-5.9585,-0.0721
-5.9344,-0.0655
-5.9103,-0.0588
-5.8862,-0.0522
-5.8621,-0.0456
-5.8380,-0.0389
-5.8139,-0.0323
-5.7898,-0.0256
-5.7657,-0.0190
-5.7416,-0.0123
-5.7175,-0.0056
-5.6934,0.0010
-5.6694,0.0077
-5.6453,0.0143
-5.6212,0.0210
-5.5971,0.0277
-5.5730,0.0344
-5.5489,0.0410
-5.5248,0.0477
