t,gt_x,gt_y,gt_yaw,slam_x,slam_y,speed,clearance_any,clearance_dynamic,dynamic_count,dyn_x,dyn_y
45.005,-11.0000,-1.5000,0.0000,-11.0000,-1.5000,0.0000,1.0049,9.3922,3,-1.2146,0.0700
45.106,-10.9990,-1.5000,0.0032,-10.9989,-1.5000,0.0278,1.0011,9.1782,3,-1.4298,0.0656
45.206,-10.9944,-1.5000,0.0181,-10.9939,-1.4999,0.0678,1.0131,9.1275,2,-1.4748,0.0385
45.306,-10.9862,-1.4997,0.0449,-10.9849,-1.4997,0.1078,1.0010,9.1080,2,-1.4814,-0.0285
45.405,-10.9742,-1.4989,0.0837,-10.9720,-1.4988,0.1478,1.0006,inf,0,nan,nan
45.506,-10.9586,-1.4972,0.1345,-10.9551,-1.4970,0.1878,0.9975,9.0963,2,-1.4911,0.0263
45.605,-10.9395,-1.4940,0.1969,-10.9344,-1.4935,0.2278,0.9740,8.8238,2,-1.7048,-0.2070
45.707,-10.9168,-1.4887,0.2605,-10.9101,-1.4878,0.2678,0.9774,8.6169,2,-1.8955,-0.1056
45.812,-10.8903,-1.4808,0.3132,-10.8823,-1.4795,0.3078,0.9664,9.0737,1,-1.4123,-0.0066
45.914,-10.8601,-1.4704,0.3538,-10.8512,-1.4686,0.3478,0.9764,8.4864,1,-1.9687,-0.0169
46.014,-10.8263,-1.4573,0.3824,-10.8167,-1.4553,0.3878,0.9953,8.4417,2,-1.9683,-0.0521
46.161,-10.8118,-1.4514,0.3905,-10.8020,-1.4493,0.3958,1.0133,8.2158,2,-2.1887,-0.0093
46.206,-10.7476,-1.4243,0.4036,-10.7375,-1.4220,0.4678,1.0275,7.9651,1,-2.3655,-0.0498
46.305,-10.7028,-1.4052,0.3962,-10.6924,-1.4029,0.5078,1.0537,7.7865,2,-2.5120,0.0180
46.405,-10.6540,-1.3852,0.3842,-10.6434,-1.3827,0.5478,1.0666,7.6804,2,-2.5766,0.0578
46.506,-10.6013,-1.3643,0.3704,-10.5904,-1.3617,0.5878,1.0962,7.6089,2,-2.6006,0.0891
46.602,-10.5454,-1.3429,0.3648,-10.5742,-1.3408,0.6000,1.1367,7.5062,2,-2.6382,0.0492
46.703,-10.4894,-1.3215,0.3637,-10.5183,-1.3192,0.6000,1.1598,7.1512,2,-2.9079,-0.1208
46.806,-10.4333,-1.3003,0.3570,-10.4623,-1.2977,0.6000,1.2011,6.9114,1,-3.1032,-0.0625
46.904,-10.3771,-1.2796,0.3493,-10.4061,-1.2767,0.6000,1.2336,6.7839,2,-3.1639,-0.1169
47.006,-10.3207,-1.2592,0.3442,-10.3498,-1.2559,0.6000,1.2722,7.0322,1,-2.8783,0.0248
47.167,-10.2755,-1.2431,0.3407,-10.3160,-1.2436,0.6000,1.3023,6.6495,1,-3.2300,0.0709
47.205,-10.2076,-1.2190,0.3403,-10.2370,-1.2150,0.6000,1.3450,6.2579,2,-3.5475,0.0243
47.305,-10.1511,-1.1991,0.3372,-10.1805,-1.1946,0.6000,1.3878,5.9579,2,-3.7829,-0.0279
47.404,-10.0944,-1.1794,0.3323,-10.1240,-1.1745,0.6000,1.4186,5.7674,2,-3.9086,-0.0705
47.505,-10.0376,-1.1599,0.3263,-10.0482,-1.1530,0.6000,1.4399,5.6297,2,-4.0018,-0.0124
47.606,-9.9807,-1.1409,0.3200,-9.9911,-1.1338,0.6000,1.4300,5.5224,3,-4.0437,-0.0494
47.705,-9.9237,-1.1222,0.3133,-9.9342,-1.1150,0.6000,1.4217,5.3961,3,-4.1244,0.0022
47.803,-9.8666,-1.1039,0.3062,-9.8771,-1.0965,0.6000,1.4278,5.0455,2,-4.3864,-0.1697
47.907,-9.8093,-1.0860,0.2990,-9.8199,-1.0784,0.6000,1.4386,4.7813,3,-4.6013,-0.1472
48.007,-9.7519,-1.0686,0.2918,-9.7728,-1.0598,0.6000,1.4398,4.6179,3,-4.6987,-0.1931
