x,y
-11.0047,-1.4784
-10.9766,-1.4812
-10.9517,-1.4826
-10.9267,-1.4844
-10.9018,-1.4866
-10.8789,-1.4766
-10.8560,-1.4666
-10.8329,-1.4570
-10.8099,-1.4472
-10.7868,-1.4376
-10.7641,-1.4271
-10.7414,-1.4167
-10.7186,-1.4063
-10.6958,-1.3962
-10.6730,-1.3858
-10.6494,-1.3778
-10.6259,-1.3690
-10.6025,-1.3604
-10.5793,-1.3509
-10.5564,-1.3410
-10.5335,-1.3309
-10.5097,-1.3232
-10.4859,-1.3158
-10.4620,-1.3083
-10.4381,-1.3009
-10.4143,-1.2934
-10.3904,-1.2860
-10.3666,-1.2785
-10.3475,-1.2624
-10.3250,-1.2515
-10.3000,-1.2517
-10.2750,-1.2505
-10.2507,-1.2447
-10.2266,-1.2379
-10.2027,-1.2305
-10.1784,-1.2247
-10.1543,-1.2183
-10.1302,-1.2113
-10.1064,-1.2038
-10.0827,-1.1960
-10.0591,-1.1877
-10.0355,-1.1793
-10.0121,-1.1705
-9.9921,-1.1555
-9.9699,-1.1441
-9.9455,-1.1497
-9.9268,-1.1663
-9.9163,-1.1890
-9.9020,-1.1685
-9.8847,-1.1505
-9.8627,-1.1386
-9.8495,-1.1173
-9.8292,-1.1028
-9.8056,-1.0945
-9.7806,-1.0939
-9.7791,-1.0689
-9.7752,-1.0442
-9.7675,-1.0204
-9.7560,-0.9982
-9.7336,-1.0093
-9.7176,-1.0285
-9.6927,-1.0263
-9.6677,-1.0275
-9.6443,-1.0363
-9.6240,-1.0509
-9.6223,-1.0259
-9.6165,-1.0016
-9.5934,-0.9920
-9.5694,-0.9851
-9.5444,-0.9845
-9.5202,-0.9908
-9.5193,-0.9659
-9.5164,-0.9410
-9.4917,-0.9372
-9.4672,-0.9319
-9.4424,-0.9289
-9.4243,-0.9117
-9.4017,-0.9009
-9.3785,-0.8917
-9.3649,-0.8707
-9.3429,-0.8589
-9.3203,-0.8481
-9.2954,-0.8458
-9.2705,-0.8434
-9.2456,-0.8417
-9.2206,-0.8400
-9.1957,-0.8386
-9.1707,-0.8373
-9.1457,-0.8362
-9.1208,-0.8352
-9.0958,-0.8344
-9.0708,-0.8336
-9.0458,-0.8329
-9.0208,-0.8323
-8.9964,-0.8271
-8.9719,-0.8218
-8.9475,-0.8166
-8.9230,-0.8114
-8.8985,-0.8063
-8.8741,-0.8011
-8.8496,-0.7960
-8.8252,-0.7907
-8.8007,-0.7855
-8.7763,-0.7803
-8.7519,-0.7746
-8.7276,-0.7690
-8.7032,-0.7634
-8.6788,-0.7578
-8.6545,-0.7522
-8.6301,-0.7465
-8.6058,-0.7409
-8.5814,-0.7352
-8.5571,-0.7295
-8.5328,-0.7237
-8.5085,-0.7178
-8.4842,-0.7120
-8.4599,-0.7061
-8.4356,-0.7002
-8.4113,-0.6944
-8.3870,-0.6885
-8.3627,-0.6826
-8.3384,-0.6766
-8.3141,-0.6706
-8.2898,-0.6646
-8.2656,-0.6586
-8.2413,-0.6526
-8.2170,-0.6466
-8.1928,-0.6405
-8.1685,-0.6345
-8.1443,-0.6285
-8.1200,-0.6224
-8.0958,-0.6163
-8.0715,-0.6102
-8.0473,-0.6041
-8.0231,-0.5979
-7.9988,-0.5918
-7.9746,-0.5857
-7.9503,-0.5796
-7.9261,-0.5734
-7.9019,-0.5672
-7.8777,-0.5610
-7.8534,-0.5548
-7.8292,-0.5486
-7.8050,-0.5424
-7.7808,-0.5362
-7.7566,-0.5300
-7.7324,-0.5237
-7.7082,-0.5175
-7.6840,-0.5112
-7.6598,-0.5050
-7.6356,-0.4987
-7.6114,-0.4924
-7.5872,-0.4862
-7.5630,-0.4799
-7.5388,-0.4736
-7.5146,-0.4673
-7.4904,-0.4610
-7.4662,-0.4546
-7.4420,-0.4483
-7.4178,-0.4420
-7.3936,-0.4357
-7.3694,-0.4294
-7.3453,-0.4230
-7.3211,-0.4166
-7.2969,-0.4103
-7.2727,-0.4039
-7.2486,-0.3976
-7.2244,-0.3912
-7.2002,-0.3848
-7.1760,-0.3784
-7.1519,-0.3720
-7.1277,-0.3656
-7.1035,-0.3592
-7.0794,-0.3528
-7.0552,-0.3464
-7.0310,-0.3400
-7.0069,-0.3336
-6.9827,-0.3272
-6.9586,-0.3208
-6.9344,-0.3143
-6.9102,-0.3079
-6.8861,-0.3014
-6.8619,-0.2950
-6.8378,-0.2886
-6.8136,-0.2821
-6.7895,-0.2757
-6.7653,-0.2692
-6.7412,-0.2627
-6.7170,-0.2563
-6.6929,-0.2498
-6.6687,-0.2433
-6.6446,-0.2368
-6.6204,-0.2304
-6.5963,-0.2239
-6.5721,-0.2174
-6.5480,-0.2109
-6.5239,-0.2044
-6.4997,-0.1979
-6.4756,-0.1914
-6.4514,-0.1849
-6.4273,-0.1784
-6.4032,-0.1718
-6.3790,-0.1653
-6.3549,-0.1588
-6.3308,-0.1523
-6.3066,-0.1457
-6.2825,-0.1392
-6.2584,-0.1327
-6.2342,-0.1261
-6.2101,-0.1196
-6.1860,-0.1130
-6.1619,-0.1065
-6.1377,-0.1000
-6.1136,-0.0934
-6.0895,-0.0868
-6.0654,-0.0803
-6.0412,-0.0737
-6.0171,-0.0672
-5.9930,-0.0606
-5.9689,-0.0540
-5.9447,-0.0474
-5.9206,-0.0409
-5.8965,-0.0343
-5.8724,-0.0277
-5.8483,-0.0211
-5.8242,-0.0145
-5.8000,-0.0079
-5.7759,-0.0013
-5.7518,0.0052
-5.7277,0.0118
-5.7036,0.0184
-5.6795,0.0250
-5.6554,0.0317
-5.6313,0.0383
-5.6071,0.0449
-5.5830,0.0515
-5.5589,0.0581
-5.5348,0.0647
-5.5107,0.0713
-5.4866,0.0780
-5.4625,0.0846
-5.4384,0.0912
-5.4143,0.0979
-5.3902,0.1045
-5.3661,0.1111
-5.3420,0.1178
-5.3179,0.1244
-5.2938,0.1310
-5.2697,0.1377
-5.2456,0.1443
-5.2215,0.1510
-5.1974,0.1576
-5.1733,0.1643
-5.1492,0.1709
-5.1251,0.1776
-5.1010,0.1843
-5.0769,0.1909
-5.0528,0.1976
-5.0287,0.2042
-5.0046,0.2109
-4.9805,0.2176
-4.9564,0.2243
-4.9323,0.2309
-4.9082,0.2376
-4.8841,0.2443
-4.8601,0.2510
-4.8360,0.2577
-4.8119,0.2643
-4.7878,0.2710
