t,gt_x,gt_y,gt_yaw,slam_x,slam_y,speed,clearance_any,clearance_dynamic,dynamic_count,dyn_x,dyn_y
30.107,-11.0000,-1.5000,0.0000,-11.0000,-1.5000,0.0000,0.9930,inf,0,nan,nan
30.205,-10.9988,-1.5000,0.0039,-10.9992,-1.5000,0.0226,1.0106,inf,0,nan,nan
30.307,-10.9940,-1.4999,0.0195,-10.9934,-1.4999,0.0706,1.0078,inf,0,nan,nan
30.408,-10.9854,-1.4997,0.0472,-10.9842,-1.4996,0.1106,0.9992,inf,0,nan,nan
30.505,-10.9732,-1.4988,0.0869,-10.9739,-1.4990,0.1426,1.0034,inf,0,nan,nan
30.605,-10.9574,-1.4971,0.1385,-10.9575,-1.4973,0.1826,0.9941,inf,0,nan,nan
30.706,-10.9380,-1.4937,0.2016,-10.9373,-1.4941,0.2226,0.9830,inf,0,nan,nan
30.808,-10.9150,-1.4882,0.2650,-10.9083,-1.4873,0.2706,0.9736,inf,0,nan,nan
30.905,-10.8940,-1.4820,0.3082,-10.8861,-1.4807,0.3026,0.9816,inf,0,nan,nan
31.006,-10.8580,-1.4695,0.3586,-10.8555,-1.4701,0.3426,0.9868,inf,0,nan,nan
31.105,-10.8240,-1.4561,0.3873,-10.8215,-1.4570,0.3826,0.9979,inf,0,nan,nan
31.254,-10.8094,-1.4501,0.3955,-10.8069,-1.4510,0.3986,1.0124,inf,0,nan,nan
31.306,-10.7450,-1.4225,0.4089,-10.7433,-1.4239,0.4626,1.0286,inf,0,nan,nan
31.407,-10.6999,-1.4031,0.4017,-10.6894,-1.4007,0.5106,1.0457,inf,0,nan,nan
31.506,-10.6510,-1.3827,0.3908,-10.6504,-1.3843,0.5426,1.0731,inf,0,nan,nan
31.605,-10.5982,-1.3613,0.3780,-10.6067,-1.3630,0.5826,1.1077,inf,0,nan,nan
31.708,-10.5424,-1.3394,0.3728,-10.5414,-1.3367,0.6000,1.1340,inf,0,nan,nan
31.806,-10.4866,-1.3176,0.3699,-10.4967,-1.3191,0.6000,1.1622,inf,0,nan,nan
31.903,-10.4418,-1.3004,0.3633,-10.4408,-1.2975,0.6000,1.2087,inf,0,nan,nan
32.005,-10.3745,-1.2750,0.3581,-10.3847,-1.2762,0.6000,1.2161,inf,0,nan,nan
32.106,-10.3183,-1.2541,0.3536,-10.3285,-1.2551,0.6000,1.2643,inf,0,nan,nan
32.295,-10.2732,-1.2375,0.3539,-10.2835,-1.2384,0.6000,1.2952,inf,0,nan,nan
32.303,-10.2170,-1.2167,0.3556,-10.2161,-1.2132,0.6000,1.3337,inf,0,nan,nan
32.406,-10.1496,-1.1912,0.3707,-10.1600,-1.1918,0.6000,1.3790,inf,0,nan,nan
32.505,-10.0942,-1.1691,0.3881,-10.1043,-1.1695,0.6000,1.4211,inf,0,nan,nan
32.604,-10.0502,-1.1508,0.4001,-10.0493,-1.1456,0.6000,1.4285,inf,0,nan,nan
32.704,-9.9954,-1.1271,0.4140,-9.9942,-1.1216,0.6000,1.4237,inf,0,nan,nan
32.807,-9.9301,-1.0978,0.4302,-9.9286,-1.0920,0.6000,1.4233,inf,0,nan,nan
32.906,-9.8760,-1.0726,0.4446,-9.8851,-1.0717,0.6000,1.4384,inf,0,nan,nan
33.004,-9.8331,-1.0518,0.4574,-9.8311,-1.0456,0.6000,1.4477,inf,0,nan,nan
33.106,-9.7688,-1.0195,0.4706,-9.7768,-1.0132,0.6000,1.4587,inf,0,nan,nan
33.335,-9.7154,-0.9923,0.4740,-9.7340,-0.9914,0.6000,1.4737,inf,0,nan,nan
33.338,-9.7047,-0.9868,0.4749,-9.7233,-0.9859,0.6000,1.4898,inf,0,nan,nan
33.405,-9.6196,-0.9427,0.4794,-9.6274,-0.9363,0.6000,1.5018,inf,0,nan,nan
33.507,-9.5557,-0.9097,0.4731,-9.5629,-0.9032,0.6000,1.5180,inf,0,nan,nan
33.603,-9.5130,-0.8880,0.4645,-9.5121,-0.8815,0.6000,1.5565,inf,0,nan,nan
33.706,-9.4485,-0.8563,0.4481,-9.4461,-0.8497,0.6000,1.6017,inf,0,nan,nan
33.807,-9.3944,-0.8307,0.4351,-9.3918,-0.8240,0.6000,1.6259,inf,0,nan,nan
33.906,-9.3399,-0.8057,0.4256,-9.3483,-0.8038,0.6000,1.6529,inf,0,nan,nan
34.005,-9.2854,-0.7813,0.4114,-9.2937,-0.7791,0.6000,1.6735,inf,0,nan,nan
34.106,-9.2415,-0.7624,0.3970,-9.2476,-0.7630,0.6000,1.6926,inf,0,nan,nan
34.206,-9.1748,-0.7353,0.3776,-9.1824,-0.7371,0.6000,1.7081,inf,0,nan,nan
34.351,-9.1636,-0.7309,0.3749,-9.1712,-0.7326,0.6000,1.7423,inf,0,nan,nan
34.410,-9.0628,-0.6922,0.3629,-9.0706,-0.6935,0.6000,1.7619,inf,0,nan,nan
34.504,-9.0179,-0.6751,0.3693,-9.0258,-0.6761,0.6000,1.7865,inf,0,nan,nan
34.605,-8.9624,-0.6532,0.3817,-8.9704,-0.6531,0.6000,1.8012,inf,0,nan,nan
34.705,-8.8961,-0.6260,0.3960,-8.9150,-0.6301,0.6000,1.8243,inf,0,nan,nan
34.806,-8.8411,-0.6027,0.4072,-8.8597,-0.6067,0.6000,1.8397,inf,0,nan,nan
34.903,-8.7973,-0.5836,0.4153,-8.8048,-0.5826,0.6000,1.8673,inf,0,nan,nan
35.003,-8.7427,-0.5592,0.4246,-8.7501,-0.5580,0.6000,1.8896,inf,0,nan,nan
35.105,-8.6775,-0.5293,0.4343,-8.6955,-0.5329,0.6000,1.9146,inf,0,nan,nan
35.204,-8.6341,-0.5090,0.4398,-8.6515,-0.5068,0.6000,1.9403,inf,0,nan,nan
35.352,-8.6016,-0.4937,0.4435,-8.6298,-0.4966,0.6000,1.9615,inf,0,nan,nan
35.407,-8.5150,-0.4523,0.4463,-8.5431,-0.4554,0.6000,1.9916,inf,0,nan,nan
35.505,-8.4609,-0.4264,0.4468,-8.4889,-0.4295,0.6000,2.0249,inf,0,nan,nan
35.604,-8.4177,-0.4057,0.4472,-8.4348,-0.4037,0.6000,2.0289,inf,0,nan,nan
35.705,-8.3636,-0.3797,0.4475,-8.3803,-0.3784,0.6000,2.0684,inf,0,nan,nan
