x,y
-11.0000,-1.5000
-10.9612,-1.5051
-10.9363,-1.5074
-10.9145,-1.4953
-10.8923,-1.4839
-10.8701,-1.4722
-10.8478,-1.4610
-10.8261,-1.4486
-10.8043,-1.4363
-10.7825,-1.4241
-10.7607,-1.4119
-10.7390,-1.3994
-10.7174,-1.3869
-10.6959,-1.3741
-10.6744,-1.3614
-10.6529,-1.3486
-10.6317,-1.3354
-10.6102,-1.3226
-10.5882,-1.3107
-10.5665,-1.2983
-10.5446,-1.2863
-10.5226,-1.2743
-10.5006,-1.2624
-10.4786,-1.2506
-10.4567,-1.2386
-10.4347,-1.2267
-10.4127,-1.2148
-10.3907,-1.2030
-10.3688,-1.1910
-10.3468,-1.1790
-10.3248,-1.1671
-10.3028,-1.1552
-10.2809,-1.1431
-10.2590,-1.1311
-10.2371,-1.1191
-10.2151,-1.1072
-10.1932,-1.0951
-10.1713,-1.0831
-10.1494,-1.0710
-10.1275,-1.0590
-10.1056,-1.0469
-10.0837,-1.0348
-10.0619,-1.0227
-10.0400,-1.0106
-10.0181,-0.9985
-9.9963,-0.9862
-9.9745,-0.9741
-9.9526,-0.9620
-9.9308,-0.9497
-9.9089,-0.9377
-9.8869,-0.9257
-9.8649,-0.9140
-9.8427,-0.9024
-9.8206,-0.8907
-9.7985,-0.8791
-9.7763,-0.8675
-9.7541,-0.8561
-9.7319,-0.8445
-9.7098,-0.8330
-9.6875,-0.8215
-9.6653,-0.8101
-9.6431,-0.7985
-9.6209,-0.7871
-9.5987,-0.7756
-9.5764,-0.7642
-9.5542,-0.7528
-9.5320,-0.7413
-9.5097,-0.7299
-9.4875,-0.7185
-9.4653,-0.7071
-9.4430,-0.6956
-9.4208,-0.6842
-9.3986,-0.6727
-9.3763,-0.6613
-9.3541,-0.6498
-9.3319,-0.6384
-9.3097,-0.6269
-9.2875,-0.6154
-9.2653,-0.6039
-9.2433,-0.5921
-9.2211,-0.5805
-9.1989,-0.5690
-9.1766,-0.5577
-9.1543,-0.5464
-9.1320,-0.5351
-9.1096,-0.5239
-9.0872,-0.5129
-9.0648,-0.5018
-9.0424,-0.4907
-9.0200,-0.4796
-8.9976,-0.4686
-8.9751,-0.4577
-8.9527,-0.4466
-8.9302,-0.4356
-8.9078,-0.4246
-8.8853,-0.4137
-8.8628,-0.4028
-8.8403,-0.3918
-8.8179,-0.3808
-8.7955,-0.3697
-8.7730,-0.3587
