t,gt_x,gt_y,gt_yaw,slam_x,slam_y,speed,clearance_any,clearance_dynamic,dynamic_count,dyn_x,dyn_y
30.209,-11.0000,-1.5000,0.0000,-11.0000,-1.5000,0.0000,1.0070,inf,0,nan,nan
30.309,-10.9993,-1.5000,0.0022,-10.9992,-1.5000,0.0226,1.0077,inf,0,nan,nan
30.408,-10.9952,-1.5000,0.0155,-10.9948,-1.5000,0.0626,1.0110,inf,0,nan,nan
30.506,-10.9874,-1.4997,0.0407,-10.9863,-1.4997,0.1026,1.0065,inf,0,nan,nan
30.604,-10.9760,-1.4991,0.0780,-10.9739,-1.4990,0.1426,1.0028,inf,0,nan,nan
30.703,-10.9609,-1.4975,0.1272,-10.9575,-1.4973,0.1826,0.9925,inf,0,nan,nan
30.805,-10.9422,-1.4945,0.1882,-10.9373,-1.4941,0.2226,0.9846,inf,0,nan,nan
30.908,-10.9200,-1.4895,0.2549,-10.9135,-1.4886,0.2626,0.9727,inf,0,nan,nan
31.005,-10.8943,-1.4819,0.3215,-10.8862,-1.4805,0.3026,0.9769,inf,0,nan,nan
31.107,-10.8653,-1.4712,0.3807,-10.8558,-1.4693,0.3426,0.9823,inf,0,nan,nan
31.206,-10.8329,-1.4573,0.4278,-10.8223,-1.4549,0.3826,0.9785,inf,0,nan,nan
31.370,-10.8119,-1.4475,0.4504,-10.8080,-1.4482,0.3986,1.0086,inf,0,nan,nan
31.403,-10.7583,-1.4202,0.4862,-10.7463,-1.4170,0.4626,1.0130,inf,0,nan,nan
31.507,-10.7159,-1.3974,0.4973,-10.7036,-1.3940,0.5026,1.0581,inf,0,nan,nan
31.607,-10.6699,-1.3724,0.4965,-10.6575,-1.3690,0.5426,1.0740,inf,0,nan,nan
31.706,-10.6203,-1.3457,0.4910,-10.6166,-1.3522,0.5826,1.1165,inf,0,nan,nan
31.808,-10.5677,-1.3177,0.4870,-10.5647,-1.3248,0.6000,1.1577,inf,0,nan,nan
31.906,-10.5146,-1.2897,0.4839,-10.5118,-1.2966,0.6000,1.1850,inf,0,nan,nan
32.006,-10.4614,-1.2619,0.4813,-10.4588,-1.2685,0.6000,1.2188,inf,0,nan,nan
32.106,-10.4082,-1.2342,0.4792,-10.4057,-1.2406,0.6000,1.2563,inf,0,nan,nan
32.208,-10.3550,-1.2066,0.4773,-10.3526,-1.2127,0.6000,1.2936,inf,0,nan,nan
32.411,-10.3016,-1.1790,0.4756,-10.3100,-1.1904,0.6000,1.3457,inf,0,nan,nan
32.414,-10.2910,-1.1735,0.4753,-10.2994,-1.1849,0.6000,1.3943,inf,0,nan,nan
32.505,-10.1948,-1.1245,0.4669,-10.1928,-1.1297,0.6000,1.4547,inf,0,nan,nan
32.606,-10.1412,-1.0976,0.4626,-10.1393,-1.1025,0.6000,1.4904,inf,0,nan,nan
32.706,-10.0874,-1.0709,0.4591,-10.0770,-1.0747,0.6000,1.4951,inf,0,nan,nan
32.806,-10.0336,-1.0444,0.4574,-10.0225,-1.0479,0.6000,1.5157,inf,0,nan,nan
32.910,-9.9798,-1.0179,0.4564,-9.9687,-1.0213,0.6000,1.5288,inf,0,nan,nan
33.008,-9.9259,-0.9915,0.4557,-9.9150,-0.9947,0.6000,1.5053,inf,0,nan,nan
