azimuth_rad,raw_range,validated_range,gate_range
-3.141593,2.7912,inf,2.2629
-3.124091,2.7873,inf,2.2632
-3.106589,2.8021,inf,2.2642
-3.089087,2.7967,inf,2.2660
-3.071585,2.8161,inf,2.2684
-3.054083,2.8247,inf,2.2715
-3.036581,2.8200,inf,2.2754
-3.019079,2.8077,inf,2.2799
-3.001577,2.8396,inf,2.2852
-2.984076,2.8291,inf,2.2912
-2.966574,2.8461,inf,2.2980
-2.949072,2.8421,inf,2.3054
-2.931570,2.8670,inf,2.3137
-2.914068,2.8787,inf,2.3227
-2.896566,2.8707,inf,2.3325
-2.879064,2.9097,inf,2.3431
-2.861562,2.9159,inf,2.3546
-2.844060,2.9170,inf,2.3668
-2.826558,2.9384,inf,2.3800
-2.809056,2.9486,inf,2.3940
-2.791555,2.9815,inf,2.4089
-2.774053,3.0096,inf,2.4248
-2.756551,3.0165,inf,2.4416
-2.739049,3.0494,inf,2.4594
-2.721547,3.0803,inf,2.4783
-2.704045,3.0826,inf,2.4982
-2.686543,3.1330,inf,2.5192
-2.669041,3.1382,inf,2.5414
-2.651539,3.1558,inf,2.5647
-2.634037,3.1929,inf,2.5893
-2.616535,3.2648,inf,2.6151
-2.599034,3.2637,inf,2.6423
-2.581532,3.3013,inf,2.6709
-2.564030,3.3336,inf,2.7010
-2.546528,3.3886,inf,2.7325
-2.529026,3.4166,inf,2.7657
-2.511524,3.4598,inf,2.8006
-2.494022,3.5171,inf,2.8372
-2.476520,3.5798,inf,2.8758
-2.459018,3.6402,inf,2.9162
-2.441516,3.6488,inf,2.9588
-2.424014,3.6989,inf,3.0035
-2.406513,3.7546,inf,3.0506
-2.389011,3.8317,inf,3.1001
-2.371509,3.9015,inf,3.1523
-2.354007,3.9761,inf,3.2072
-2.336505,4.0318,inf,3.2651
-2.319003,4.0830,inf,3.3261
-2.301501,4.1680,inf,3.3906
-2.283999,4.2188,inf,3.4586
-2.266497,4.3276,inf,3.5306
-2.248995,4.4167,inf,3.6068
-2.231493,4.5046,inf,3.6874
-2.213992,4.6157,inf,3.7730
-2.196490,4.6761,inf,3.8638
-2.178988,4.7925,inf,3.9603
