t,pitch_deg,removed,min_before,min_after,closest_removed
0.000,0.0000,0,2.7410,2.7410,inf
0.100,0.0000,0,2.7312,2.7312,inf
0.200,0.0000,0,2.7416,2.7416,inf
0.300,0.0000,0,2.7404,2.7404,inf
0.400,0.0000,0,2.7397,2.7397,inf
0.500,0.0000,0,2.7292,2.7292,inf
0.600,0.0000,0,2.7381,2.7381,inf
0.700,0.0000,0,2.7321,2.7321,inf
0.800,0.0000,0,2.7247,2.7247,inf
0.900,0.0000,0,2.7298,2.7298,inf
1.000,0.0000,0,2.7323,2.7323,inf
1.100,0.0000,0,2.7288,2.7288,inf
1.200,0.0000,0,2.7331,2.7331,inf
1.300,0.0000,0,2.7352,2.7352,inf
1.400,0.0000,0,2.7224,2.7224,inf
1.500,0.0000,0,2.7314,2.7314,inf
1.600,0.0000,0,2.7458,2.7458,inf
1.700,0.0000,0,2.7232,2.7232,inf
1.800,0.0000,0,2.7258,2.7258,inf
1.900,0.0000,0,2.7391,2.7391,inf
2.000,0.0000,0,2.7389,2.7389,inf
2.100,0.0000,0,2.7348,2.7348,inf
2.200,0.0000,0,2.7362,2.7362,inf
2.300,0.0000,0,2.7377,2.7377,inf
2.400,0.0000,0,2.7410,2.7410,inf
2.500,0.0000,0,2.7429,2.7429,inf
2.600,0.0000,0,2.7331,2.7331,inf
2.700,0.0000,0,2.7348,2.7348,inf
2.800,0.0000,0,2.7355,2.7355,inf
2.900,0.0000,0,2.7318,2.7318,inf
3.000,0.0000,0,2.7398,2.7398,inf
3.100,0.0000,0,2.7302,2.7302,inf
3.200,0.0000,0,2.7336,2.7336,inf
3.300,0.0000,0,2.7285,2.7285,inf
3.400,0.0000,0,2.7370,2.7370,inf
3.500,0.0000,0,2.7444,2.7444,inf
3.600,0.0000,0,2.7306,2.7306,inf
3.700,0.0000,0,2.7338,2.7338,inf
3.800,0.0000,0,2.7248,2.7248,inf
3.900,0.0000,0,2.7284,2.7284,inf
4.000,0.0000,0,2.7328,2.7328,inf
4.100,0.0000,0,2.7437,2.7437,inf
4.200,0.0000,0,2.7428,2.7428,inf
4.300,0.0000,0,2.7374,2.7374,inf
4.400,0.0000,0,2.7365,2.7365,inf
4.500,0.0000,0,2.7266,2.7266,inf
4.600,0.0000,0,2.7368,2.7368,inf
4.700,0.0000,0,2.7433,2.7433,inf
4.800,0.0000,0,2.7436,2.7436,inf
4.900,0.0000,0,2.7388,2.7388,inf
5.000,0.0000,0,2.7382,2.7382,inf
5.100,0.0000,0,2.7447,2.7447,inf
5.200,0.0000,0,2.7449,2.7449,inf
5.300,0.0000,0,2.7390,2.7390,inf
5.400,0.0000,0,2.7287,2.7287,inf
5.500,0.0000,0,2.7365,2.7365,inf
5.600,0.0000,0,2.7325,2.7325,inf
5.700,0.0000,0,2.7312,2.7312,inf
5.800,0.0000,0,2.7293,2.7293,inf
5.900,0.0000,0,2.7448,2.7448,inf
6.000,0.0000,0,2.7288,2.7288,inf
6.100,0.0000,0,2.7326,2.7326,inf
6.200,0.0000,0,2.7294,2.7294,inf
6.300,0.0000,0,2.7381,2.7381,inf
6.400,0.0000,0,2.7394,2.7394,inf
6.500,0.0000,0,2.7393,2.7393,inf
6.600,0.0000,0,2.7363,2.7363,inf
6.700,0.0000,0,2.7434,2.7434,inf
6.800,0.0000,0,2.7252,2.7252,inf
6.900,0.0000,0,2.7343,2.7343,inf
7.000,0.0000,0,2.7379,2.7379,inf
7.100,0.0000,0,2.7287,2.7287,inf
7.200,0.0000,0,2.7334,2.7334,inf
7.300,0.0000,0,2.7336,2.7336,inf
7.400,0.0000,0,2.7278,2.7278,inf
7.500,0.0000,0,2.7302,2.7302,inf
7.600,0.0000,0,2.7240,2.7240,inf
7.700,0.0000,0,2.7305,2.7305,inf
7.800,0.0000,0,2.7326,2.7326,inf
7.900,0.0000,0,2.7317,2.7317,inf
8.000,0.0000,0,2.7334,2.7334,inf
8.100,0.0000,0,2.7336,2.7336,inf
8.300,0.0000,0,2.7325,2.7325,inf
8.400,0.0000,0,2.7305,2.7305,inf
8.500,0.0000,0,2.7349,2.7349,inf
8.600,0.0000,0,2.7305,2.7305,inf
8.700,0.0000,0,2.7351,2.7351,inf
8.800,0.0000,0,2.7282,2.7282,inf
8.900,0.0000,0,2.7325,2.7325,inf
9.000,0.0000,0,2.7339,2.7339,inf
9.100,0.0000,0,2.7310,2.7310,inf
9.200,0.0000,0,2.7345,2.7345,inf
9.300,0.0000,0,2.7357,2.7357,inf
9.400,0.0000,0,2.7322,2.7322,inf
9.500,0.0000,0,2.7357,2.7357,inf
9.600,0.0000,0,2.7362,2.7362,inf
9.700,0.0000,0,2.7321,2.7321,inf
9.800,0.0000,0,2.7354,2.7354,inf
9.900,0.0000,0,2.7305,2.7305,inf
10.000,0.0000,0,2.7313,2.7313,inf
10.100,0.0000,0,2.7395,2.7395,inf
10.200,0.0000,0,2.7396,2.7396,inf
10.300,0.0000,0,2.7433,2.7433,inf
10.400,0.0000,0,2.7381,2.7381,inf
10.500,0.0000,0,2.7375,2.7375,inf
10.600,0.0000,0,2.7361,2.7361,inf
10.700,0.0000,0,2.7295,2.7295,inf
10.800,0.0000,0,2.7395,2.7395,inf
10.900,0.0000,0,2.7436,2.7436,inf
11.000,0.0000,0,2.7352,2.7352,inf
11.100,0.0000,0,2.7418,2.7418,inf
11.200,0.0000,0,2.7196,2.7196,inf
11.300,0.0000,0,2.7371,2.7371,inf
11.400,0.0000,0,2.7327,2.7327,inf
11.500,0.0000,0,2.7285,2.7285,inf
11.600,0.0000,0,2.7325,2.7325,inf
11.700,0.0000,0,2.7372,2.7372,inf
11.800,0.0000,0,2.7270,2.7270,inf
11.900,0.0000,0,2.7400,2.7400,inf
12.000,0.0000,0,2.7397,2.7397,inf
12.100,0.0000,0,2.7390,2.7390,inf
12.200,0.0000,0,2.7371,2.7371,inf
12.300,0.0000,0,2.7376,2.7376,inf
12.400,0.0000,0,2.7277,2.7277,inf
12.500,0.0000,0,2.7345,2.7345,inf
12.600,0.0000,0,2.7340,2.7340,inf
12.700,0.0000,0,2.7450,2.7450,inf
12.800,0.0000,0,2.7391,2.7391,inf
