t,separation_m
5.220,3.0000
5.222,3.0000
5.224,3.0000
5.224,3.0000
5.224,3.0000
5.226,3.0000
5.239,3.0000
5.247,3.0000
5.259,3.0000
5.269,3.0000
5.280,3.0000
5.286,3.0000
5.299,3.0000
5.305,3.0000
5.320,3.0000
5.328,3.0000
5.342,3.0000
5.347,3.0000
5.359,3.0000
5.367,3.0000
5.372,3.0000
5.379,3.0000
5.389,3.0000
5.396,3.0000
5.424,3.0000
5.439,3.0000
5.454,3.0000
5.471,3.0000
5.471,3.0000
5.483,3.0000
5.483,3.0000
5.488,3.0000
5.499,3.0000
5.510,3.0000
5.517,3.0000
5.523,3.0000
5.538,3.0000
5.546,3.0000
5.561,3.0000
5.569,3.0000
5.581,3.0000
5.586,3.0000
5.602,3.0000
5.605,3.0000
5.618,3.0000
5.620,3.0000
5.635,3.0000
5.640,3.0000
5.665,3.0000
5.670,3.0000
5.680,3.0000
5.687,3.0000
5.699,3.0000
5.716,3.0000
5.717,3.0000
5.717,3.0000
5.732,3.0000
5.738,3.0000
5.745,3.0000
5.750,3.0000
5.772,3.0000
5.789,3.0000
5.799,3.0000
5.809,3.0000
5.819,3.0000
5.824,3.0000
5.838,3.0000
5.849,3.0000
5.861,3.0000
5.866,3.0000
5.869,3.0000
5.872,3.0000
5.875,3.0000
5.878,3.0000
5.882,3.0000
5.883,3.0000
5.884,3.0000
5.888,3.0000
5.892,3.0000
5.897,3.0000
5.980,3.0000
5.989,3.0000
6.035,3.0000
6.045,3.0000
6.045,3.0000
6.045,3.0000
6.046,3.0000
6.047,3.0000
6.067,3.0000
6.067,3.0000
6.081,3.0000
6.092,3.0000
6.100,3.0000
6.114,3.0000
6.128,3.0000
6.144,3.0000
6.145,3.0000
6.158,3.0000
6.173,3.0000
6.173,3.0000
6.186,3.0000
6.191,3.0000
6.201,3.0000
6.207,3.0000
6.219,3.0000
6.237,3.0000
6.313,3.0000
6.319,3.0000
6.319,3.0000
6.319,3.0000
6.320,3.0000
6.320,3.0000
6.320,3.0000
6.320,3.0000
6.320,3.0000
6.328,3.0000
6.339,3.0000
6.348,3.0000
6.359,3.0000
6.362,3.0000
6.436,3.0000
6.463,3.0000
6.465,3.0000
6.465,3.0000
6.465,3.0000
6.471,3.0000
6.471,3.0000
6.471,3.0000
6.476,3.0000
6.476,3.0000
6.481,3.0000
6.487,3.0000
6.500,3.0000
6.505,3.0000
6.528,3.0000
6.528,3.0001
6.540,3.0001
6.547,3.0001
6.559,3.0001
6.568,3.0001
6.581,3.0001
6.588,3.0001
6.765,3.0001
6.769,3.0001
6.769,3.0001
6.774,3.0002
6.775,3.0002
6.776,3.0002
6.776,3.0002
6.776,3.0002
6.782,3.0002
6.784,3.0003
6.784,3.0003
6.788,3.0003
6.792,3.0003
6.796,3.0004
6.796,3.0003
6.800,3.0004
6.802,3.0004
6.806,3.0005
6.822,3.0004
6.934,3.0005
6.934,3.0005
6.939,3.0006
6.939,3.0007
6.939,3.0007
6.939,3.0006
6.942,3.0007
6.942,3.0007
6.942,3.0008
6.943,3.0008
6.943,3.0010
6.946,3.0010
6.946,3.0011
6.949,3.0011
6.950,3.0012
6.950,3.0012
6.953,3.0013
6.956,3.0013
6.958,3.0014
6.958,3.0014
6.958,3.0016
6.966,3.0016
6.967,3.0017
6.971,3.0017
6.971,3.0019
6.982,3.0021
6.982,3.0021
6.986,3.0023
6.995,3.0023
6.995,3.0026
7.003,3.0026
7.003,3.0026
7.003,3.0028
7.009,3.0028
7.009,3.0030
7.027,3.0030
7.126,3.0033
7.133,3.0032
7.133,3.0035
7.137,3.0035
7.137,3.0038
7.147,3.0038
7.158,3.0041
7.170,3.0041
7.180,3.0044
7.194,3.0044
7.206,3.0048
7.281,3.0048
7.281,3.0051
7.281,3.0051
7.281,3.0056
7.281,3.0056
7.282,3.0060
7.282,3.0060
7.282,3.0064
7.295,3.0064
7.295,3.0069
7.310,3.0069
7.326,3.0074
7.343,3.0074
7.367,3.0080
7.385,3.0080
7.399,3.0086
7.443,3.0085
7.447,3.0091
7.447,3.0091
7.447,3.0098
7.447,3.0098
7.453,3.0105
7.458,3.0105
7.463,3.0112
7.500,3.0112
7.506,3.0119
7.522,3.0119
7.527,3.0127
7.561,3.0127
7.561,3.0135
7.562,3.0135
7.566,3.0144
7.586,3.0144
7.590,3.0153
7.599,3.0153
7.608,3.0163
7.620,3.0163
7.620,3.0173
7.625,3.0173
7.625,3.0183
7.630,3.0183
7.647,3.0194
7.657,3.0194
7.660,3.0206
7.668,3.0206
7.678,3.0218
7.697,3.0218
7.776,3.0230
7.776,3.0230
7.779,3.0243
7.780,3.0243
7.780,3.0257
7.781,3.0257
7.783,3.0271
7.794,3.0271
7.807,3.0286
7.821,3.0286
7.826,3.0301
7.840,3.0301
7.847,3.0317
7.857,3.0316
7.864,3.0332
7.905,3.0331
7.908,3.0349
7.909,3.0348
7.909,3.0366
7.919,3.0366
7.927,3.0385
7.939,3.0385
7.946,3.0404
7.962,3.0404
7.967,3.0424
7.974,3.0424
7.988,3.0444
8.050,3.0444
8.050,3.0465
8.050,3.0465
8.050,3.0486
8.050,3.0486
8.050,3.0508
8.055,3.0508
8.070,3.0530
8.079,3.0530
8.084,3.0552
8.102,3.0552
8.108,3.0575
8.132,3.0575
8.132,3.0598
8.139,3.0598
8.144,3.0622
8.153,3.0622
8.158,3.0647
8.164,3.0647
8.169,3.0671
8.196,3.0671
8.207,3.0697
8.219,3.0696
8.228,3.0722
8.238,3.0721
8.248,3.0747
8.309,3.0745
8.312,3.0772
8.314,3.0771
8.321,3.0797
8.325,3.0797
8.330,3.0825
8.330,3.0825
8.330,3.0852
8.343,3.0852
8.350,3.0881
8.362,3.0881
8.363,3.0909
8.366,3.0909
8.367,3.0938
8.380,3.0938
8.412,3.0968
8.416,3.0968
8.430,3.0998
8.439,3.0998
8.444,3.1028
8.459,3.1028
8.465,3.1059
8.493,3.1059
8.493,3.1090
8.499,3.1090
8.506,3.1122
8.520,3.1122
8.525,3.1154
8.539,3.1154
8.546,3.1187
8.559,3.1187
8.566,3.1220
8.577,3.1220
8.580,3.1253
8.586,3.1253
8.594,3.1287
8.624,3.1287
8.627,3.1321
8.639,3.1321
8.639,3.1355
8.648,3.1354
8.652,3.1389
8.673,3.1386
8.687,3.1422
8.700,3.1421
8.702,3.1456
8.719,3.1456
8.725,3.1492
8.737,3.1492
8.747,3.1529
8.759,3.1529
8.762,3.1566
8.767,3.1566
8.789,3.1603
8.789,3.1603
8.789,3.1641
8.793,3.1641
8.803,3.1679
