t,separation_m
27.268,3.0000
27.280,3.0000
27.281,3.0000
27.307,3.0000
27.307,3.0000
27.329,3.0000
27.329,3.0000
27.340,3.0000
27.341,3.0000
27.361,3.0000
27.361,3.0000
27.380,3.0000
27.382,3.0000
27.401,3.0000
27.401,3.0000
27.421,3.0000
27.421,3.0000
27.441,3.0000
27.441,3.0000
27.461,3.0000
27.462,3.0000
27.481,3.0000
27.481,3.0000
27.500,3.0000
27.501,3.0000
27.520,3.0000
27.522,3.0000
27.540,3.0000
27.541,3.0000
27.561,3.0000
27.561,3.0000
27.582,3.0000
27.582,3.0000
27.602,3.0000
27.602,3.0000
27.622,3.0000
27.622,3.0000
27.641,3.0000
27.642,3.0000
27.659,3.0000
27.659,3.0000
27.680,3.0000
27.681,3.0000
27.700,3.0000
27.703,3.0000
27.720,3.0000
27.722,3.0000
27.740,3.0000
27.741,3.0000
27.760,3.0000
27.761,3.0000
27.781,3.0001
27.782,3.0000
27.801,3.0001
27.801,3.0001
27.820,3.0001
27.823,3.0001
27.840,3.0001
27.841,3.0001
27.860,3.0002
27.861,3.0001
27.880,3.0002
27.881,3.0002
27.900,3.0002
27.902,3.0002
27.920,3.0003
27.922,3.0003
27.940,3.0004
27.942,3.0003
27.961,3.0004
27.962,3.0004
27.981,3.0005
27.981,3.0005
28.000,3.0006
28.002,3.0006
28.019,3.0007
28.055,3.0007
28.091,3.0009
28.092,3.0008
28.092,3.0010
28.096,3.0009
28.096,3.0012
28.098,3.0011
28.100,3.0014
28.101,3.0012
28.121,3.0016
28.122,3.0014
28.140,3.0018
28.142,3.0017
28.161,3.0021
28.161,3.0019
28.180,3.0023
28.181,3.0021
28.201,3.0026
28.201,3.0024
28.220,3.0030
28.222,3.0027
28.240,3.0033
28.241,3.0031
28.260,3.0037
28.262,3.0035
28.280,3.0042
28.282,3.0039
28.301,3.0046
28.301,3.0043
28.320,3.0051
28.322,3.0048
28.340,3.0057
28.341,3.0053
28.360,3.0063
28.361,3.0059
28.381,3.0069
28.382,3.0065
28.400,3.0076
28.401,3.0072
28.420,3.0083
28.422,3.0079
28.442,3.0074
28.442,3.0086
28.461,3.0100
28.462,3.0094
28.480,3.0109
28.481,3.0103
28.501,3.0118
28.501,3.0112
28.520,3.0128
28.521,3.0121
28.540,3.0139
28.542,3.0132
28.560,3.0150
28.562,3.0142
28.581,3.0161
28.582,3.0153
28.603,3.0145
28.603,3.0165
28.621,3.0185
28.622,3.0176
28.640,3.0198
28.642,3.0189
28.661,3.0211
28.662,3.0201
28.681,3.0225
28.682,3.0214
28.701,3.0239
28.701,3.0228
28.723,3.0253
28.727,3.0241
28.740,3.0267
28.741,3.0255
28.760,3.0282
28.789,3.0269
28.807,3.0296
28.807,3.0283
28.807,3.0311
28.808,3.0297
28.821,3.0326
28.823,3.0312
28.840,3.0341
28.842,3.0326
28.862,3.0356
28.865,3.0341
28.880,3.0371
28.882,3.0355
28.900,3.0386
28.900,3.0370
28.919,3.0402
28.921,3.0385
28.941,3.0417
28.941,3.0399
28.961,3.0432
28.962,3.0414
28.980,3.0448
28.981,3.0429
29.002,3.0410
29.005,3.0444
29.021,3.0478
29.021,3.0458
29.040,3.0494
29.042,3.0473
29.060,3.0509
29.062,3.0488
29.081,3.0525
29.081,3.0503
29.100,3.0540
29.102,3.0518
29.120,3.0556
29.120,3.0534
29.141,3.0571
29.142,3.0549
29.161,3.0587
29.162,3.0564
29.180,3.0603
29.182,3.0580
29.200,3.0619
29.201,3.0596
29.220,3.0635
29.221,3.0611
29.240,3.0652
29.241,3.0627
29.260,3.0668
29.263,3.0644
29.282,3.0685
29.283,3.0660
29.300,3.0702
29.301,3.0677
29.320,3.0719
29.322,3.0693
29.341,3.0736
29.342,3.0710
29.360,3.0754
29.362,3.0728
29.381,3.0771
29.381,3.0745
29.401,3.0789
29.402,3.0763
29.421,3.0807
29.422,3.0780
29.440,3.0826
29.442,3.0798
29.460,3.0844
29.461,3.0817
29.480,3.0789
29.481,3.0835
29.500,3.0882
29.501,3.0854
29.521,3.0901
29.521,3.0872
29.563,3.0920
29.592,3.0891
29.594,3.0940
29.594,3.0911
29.596,3.0959
29.596,3.0930
29.600,3.0979
29.602,3.0949
29.621,3.0999
29.621,3.0969
29.640,3.1019
29.642,3.0989
29.661,3.1040
29.662,3.1009
29.680,3.1061
29.682,3.1030
29.702,3.1081
29.702,3.1050
29.721,3.1019
29.721,3.1071
29.740,3.1124
29.744,3.1092
29.761,3.1145
29.761,3.1113
29.780,3.1167
29.782,3.1134
29.803,3.1188
29.803,3.1156
29.821,3.1210
29.823,3.1177
29.841,3.1232
29.842,3.1199
29.860,3.1255
29.861,3.1221
29.880,3.1277
29.882,3.1244
29.900,3.1300
29.901,3.1266
29.920,3.1323
29.921,3.1289
29.941,3.1346
29.941,3.1312
29.960,3.1369
29.961,3.1335
29.982,3.1393
29.982,3.1358
30.000,3.1417
30.000,3.1381
30.022,3.1440
30.022,3.1405
30.040,3.1464
30.041,3.1428
30.060,3.1489
30.061,3.1452
30.081,3.1513
30.082,3.1476
30.100,3.1538
30.101,3.1501
30.120,3.1562
30.122,3.1525
30.141,3.1587
30.141,3.1550
30.160,3.1612
30.161,3.1575
30.180,3.1638
30.181,3.1600
30.201,3.1663
30.201,3.1625
30.221,3.1689
30.221,3.1650
30.240,3.1715
30.241,3.1676
30.259,3.1741
30.263,3.1702
30.280,3.1767
30.282,3.1728
30.311,3.1793
30.328,3.1754
30.328,3.1820
30.329,3.1780
30.340,3.1847
30.341,3.1807
30.361,3.1874
30.363,3.1833
30.380,3.1901
30.381,3.1860
30.401,3.1928
30.401,3.1887
30.421,3.1956
30.421,3.1914
30.440,3.1983
30.442,3.1942
30.460,3.2011
30.462,3.1969
30.480,3.2039
30.481,3.1997
30.501,3.2067
30.502,3.2025
30.521,3.2096
30.521,3.2053
30.541,3.2124
30.541,3.2081
30.561,3.2153
30.561,3.2110
30.580,3.2182
30.582,3.2138
30.601,3.2211
30.602,3.2167
30.620,3.2240
30.621,3.2196
30.640,3.2269
30.643,3.2225
30.660,3.2299
30.660,3.2255
30.681,3.2329
30.682,3.2284
30.700,3.2358
30.701,3.2314
30.721,3.2389
30.722,3.2343
30.740,3.2419
30.741,3.2373
30.761,3.2449
30.761,3.2404
30.779,3.2480
30.782,3.2434
30.800,3.2510
30.804,3.2464
30.820,3.2541
30.822,3.2495
30.841,3.2572
30.842,3.2526
30.860,3.2604
30.861,3.2557
30.880,3.2635
30.881,3.2588
30.901,3.2667
30.901,3.2619
30.920,3.2698
30.921,3.2651
30.940,3.2730
30.942,3.2683
30.960,3.2762
30.961,3.2714
30.980,3.2795
30.983,3.2746
31.001,3.2827
31.001,3.2778
31.021,3.2860
31.021,3.2811
31.042,3.2892
31.070,3.2843
31.070,3.2925
31.070,3.2876
31.091,3.2958
31.091,3.2909
31.100,3.2991
31.102,3.2942
31.121,3.3025
31.121,3.2975
31.142,3.2925
31.143,3.3008
31.160,3.3092
31.161,3.3042
31.180,3.3126
31.181,3.3075
31.200,3.3160
31.200,3.3109
31.220,3.3194
31.221,3.3143
31.241,3.3228
31.242,3.3177
31.261,3.3263
31.264,3.3211
31.281,3.3298
31.283,3.3246
31.300,3.3332
31.302,3.3280
31.320,3.3367
31.321,3.3315
31.340,3.3402
31.342,3.3350
31.361,3.3438
31.361,3.3385
31.381,3.3473
