t,separation_m
29.524,3.0000
29.524,3.0000
29.525,3.0000
29.547,3.0000
29.557,3.0000
29.557,3.0000
29.561,3.0000
29.577,3.0000
29.581,3.0000
29.598,3.0000
29.601,3.0000
29.617,3.0000
29.621,3.0000
29.637,3.0000
29.641,3.0000
29.657,3.0000
29.661,3.0000
29.677,3.0000
29.681,3.0000
29.697,3.0000
29.701,3.0000
29.717,3.0000
29.721,3.0000
29.737,3.0000
29.741,3.0000
29.757,3.0000
29.761,3.0000
29.777,3.0000
29.780,3.0001
29.797,3.0001
29.801,3.0001
29.817,3.0001
29.821,3.0001
29.837,3.0001
29.841,3.0002
29.857,3.0001
29.861,3.0002
29.877,3.0002
29.881,3.0002
29.897,3.0002
29.901,3.0003
29.917,3.0003
29.921,3.0004
29.937,3.0003
29.941,3.0005
29.957,3.0004
29.961,3.0006
29.977,3.0005
29.981,3.0007
29.997,3.0006
30.002,3.0008
30.017,3.0007
30.021,3.0009
30.037,3.0008
30.041,3.0011
30.057,3.0010
30.061,3.0013
30.077,3.0011
30.081,3.0015
30.097,3.0013
30.101,3.0017
30.117,3.0015
30.121,3.0019
30.137,3.0018
30.141,3.0022
30.157,3.0020
30.161,3.0025
30.177,3.0023
30.181,3.0028
30.197,3.0026
30.201,3.0032
30.217,3.0029
30.221,3.0036
30.237,3.0033
30.241,3.0040
30.257,3.0037
30.261,3.0045
30.277,3.0042
30.281,3.0050
30.297,3.0046
30.301,3.0055
30.317,3.0052
30.321,3.0061
30.337,3.0057
30.341,3.0067
30.357,3.0063
30.361,3.0074
30.377,3.0070
30.382,3.0081
30.397,3.0077
30.402,3.0089
30.417,3.0084
30.421,3.0098
30.437,3.0092
30.442,3.0107
30.457,3.0101
30.461,3.0116
30.477,3.0110
30.481,3.0127
30.497,3.0120
30.501,3.0137
30.517,3.0130
30.521,3.0149
30.564,3.0141
30.564,3.0161
30.565,3.0153
30.565,3.0174
30.596,3.0165
30.597,3.0187
30.597,3.0178
30.601,3.0200
30.617,3.0191
30.621,3.0214
30.637,3.0204
30.641,3.0228
30.657,3.0217
30.661,3.0242
30.677,3.0231
30.681,3.0256
30.697,3.0244
30.701,3.0270
30.717,3.0258
30.721,3.0285
30.737,3.0272
30.741,3.0300
30.757,3.0287
30.761,3.0315
30.777,3.0301
30.783,3.0330
30.797,3.0315
30.800,3.0345
30.817,3.0330
30.821,3.0360
30.837,3.0345
30.841,3.0375
30.857,3.0359
30.862,3.0391
30.877,3.0374
30.881,3.0406
30.897,3.0389
30.901,3.0422
30.917,3.0404
30.921,3.0437
30.937,3.0419
30.941,3.0452
30.957,3.0434
30.961,3.0468
30.977,3.0448
30.981,3.0483
30.997,3.0463
31.001,3.0499
31.017,3.0478
31.021,3.0514
31.037,3.0493
31.042,3.0529
31.057,3.0507
31.061,3.0544
31.077,3.0522
31.081,3.0559
31.097,3.0537
31.101,3.0575
31.117,3.0552
31.122,3.0590
31.137,3.0567
31.141,3.0606
31.157,3.0582
31.161,3.0622
31.177,3.0598
31.181,3.0638
31.197,3.0614
31.201,3.0654
31.217,3.0630
31.222,3.0671
31.238,3.0646
31.242,3.0688
31.257,3.0663
31.261,3.0705
31.277,3.0679
31.281,3.0722
31.297,3.0696
31.301,3.0739
31.317,3.0713
31.321,3.0757
31.337,3.0730
31.341,3.0774
31.357,3.0748
31.361,3.0792
31.377,3.0765
31.381,3.0810
31.397,3.0783
31.401,3.0829
31.418,3.0801
31.421,3.0847
31.437,3.0820
31.441,3.0866
31.458,3.0838
31.461,3.0885
31.477,3.0857
31.481,3.0904
31.497,3.0875
31.501,3.0923
31.517,3.0894
31.521,3.0943
31.554,3.0914
31.554,3.0962
31.557,3.0933
31.561,3.0982
31.603,3.0953
31.603,3.1002
31.603,3.0972
31.604,3.1023
31.617,3.0992
31.622,3.1043
31.637,3.1013
31.641,3.1064
31.657,3.1033
31.661,3.1085
31.677,3.1054
31.681,3.1106
31.697,3.1074
31.701,3.1127
31.717,3.1095
31.721,3.1148
31.737,3.1116
31.743,3.1170
31.757,3.1138
31.761,3.1192
31.778,3.1159
31.781,3.1214
31.798,3.1181
31.801,3.1236
31.817,3.1203
31.822,3.1258
31.837,3.1225
31.842,3.1281
31.857,3.1247
31.861,3.1304
31.877,3.1270
31.881,3.1327
31.897,3.1292
31.902,3.1350
31.918,3.1315
31.921,3.1373
31.938,3.1338
31.942,3.1397
31.957,3.1361
31.961,3.1420
31.978,3.1385
31.983,3.1444
31.997,3.1408
32.000,3.1468
32.017,3.1432
32.021,3.1492
32.037,3.1456
32.041,3.1517
32.057,3.1480
32.061,3.1542
32.077,3.1505
32.083,3.1566
32.097,3.1529
32.101,3.1591
32.118,3.1554
32.121,3.1616
32.138,3.1579
32.142,3.1642
