t,separation_m
24.662,3.0000
24.662,3.0000
24.664,3.0000
24.679,3.0000
24.692,3.0000
24.692,3.0000
24.703,3.0000
24.712,3.0000
24.723,3.0000
24.733,3.0000
24.744,3.0000
24.753,3.0000
24.764,3.0000
24.772,3.0000
24.783,3.0000
24.792,3.0000
24.803,3.0000
24.813,3.0000
24.824,3.0000
24.834,3.0000
24.842,3.0000
24.852,3.0000
24.864,3.0000
24.872,3.0000
24.884,3.0000
24.892,3.0000
24.903,3.0000
24.912,3.0000
24.923,3.0000
24.934,3.0000
24.948,3.0000
24.952,3.0000
24.963,3.0000
24.972,3.0000
24.984,3.0000
24.992,3.0000
25.003,3.0000
25.011,3.0000
25.023,3.0000
25.033,3.0000
25.042,3.0000
25.052,3.0000
25.063,3.0000
25.073,3.0000
25.084,3.0000
25.092,3.0000
25.103,3.0000
25.113,3.0000
25.123,3.0000
25.133,3.0000
25.143,3.0000
25.152,3.0000
25.164,3.0000
25.172,3.0000
25.203,3.0000
25.235,3.0000
25.235,3.0000
25.236,3.0001
25.238,3.0000
25.238,3.0001
25.243,3.0001
25.253,3.0001
25.264,3.0001
25.273,3.0001
25.284,3.0001
25.292,3.0002
25.303,3.0001
25.312,3.0002
25.323,3.0002
25.333,3.0002
25.343,3.0002
25.351,3.0003
25.364,3.0003
25.374,3.0004
25.384,3.0003
25.393,3.0004
25.403,3.0004
25.412,3.0005
25.423,3.0004
25.435,3.0006
25.443,3.0005
25.452,3.0007
25.464,3.0006
25.472,3.0008
25.483,3.0007
25.492,3.0010
25.504,3.0009
25.512,3.0011
25.524,3.0010
25.532,3.0013
25.543,3.0012
25.551,3.0015
25.565,3.0014
25.573,3.0017
25.583,3.0016
25.592,3.0020
25.604,3.0018
25.612,3.0022
25.624,3.0020
25.632,3.0025
25.641,3.0023
25.653,3.0029
25.684,3.0026
25.710,3.0032
25.711,3.0029
25.711,3.0036
25.711,3.0033
25.713,3.0040
25.724,3.0037
25.732,3.0045
25.744,3.0041
25.752,3.0050
25.763,3.0046
25.772,3.0055
25.783,3.0051
25.794,3.0061
25.804,3.0056
25.812,3.0067
25.824,3.0062
25.833,3.0073
25.843,3.0068
25.853,3.0081
25.863,3.0075
25.874,3.0088
25.884,3.0082
25.892,3.0096
25.904,3.0090
25.912,3.0105
25.924,3.0098
25.932,3.0114
25.943,3.0107
25.952,3.0123
25.963,3.0116
25.972,3.0133
25.985,3.0126
25.992,3.0144
26.004,3.0136
26.012,3.0155
26.024,3.0146
26.033,3.0166
26.044,3.0157
26.053,3.0177
26.064,3.0168
26.073,3.0189
26.083,3.0179
26.092,3.0201
26.102,3.0191
26.112,3.0214
26.124,3.0203
26.132,3.0226
26.143,3.0215
26.152,3.0239
26.162,3.0227
26.172,3.0252
26.210,3.0240
26.242,3.0265
26.242,3.0252
26.242,3.0279
26.243,3.0265
26.244,3.0292
26.245,3.0278
26.253,3.0305
26.263,3.0291
26.272,3.0319
26.284,3.0304
26.292,3.0332
26.304,3.0316
26.312,3.0346
26.323,3.0330
26.334,3.0360
26.343,3.0343
26.352,3.0373
26.363,3.0356
26.372,3.0387
26.384,3.0369
26.392,3.0401
26.403,3.0382
26.413,3.0415
26.423,3.0396
26.433,3.0429
26.443,3.0409
26.452,3.0443
26.463,3.0423
26.473,3.0457
26.483,3.0437
26.492,3.0471
26.504,3.0450
26.514,3.0485
26.523,3.0464
26.532,3.0500
26.544,3.0478
26.553,3.0514
26.563,3.0493
26.572,3.0529
26.584,3.0507
26.592,3.0544
26.603,3.0522
26.612,3.0559
26.626,3.0537
26.632,3.0575
26.643,3.0552
26.654,3.0590
26.663,3.0567
26.673,3.0606
26.714,3.0582
26.746,3.0622
26.746,3.0598
26.748,3.0638
26.749,3.0614
26.749,3.0654
26.750,3.0630
26.753,3.0671
26.764,3.0646
26.772,3.0688
26.784,3.0662
26.793,3.0704
26.804,3.0679
26.813,3.0722
26.824,3.0696
26.831,3.0739
26.844,3.0713
26.853,3.0756
26.863,3.0730
26.872,3.0774
26.883,3.0748
26.894,3.0792
26.903,3.0765
26.912,3.0810
26.925,3.0783
26.932,3.0829
26.943,3.0801
26.953,3.0847
26.964,3.0819
26.972,3.0866
26.983,3.0838
26.993,3.0885
27.003,3.0856
27.013,3.0904
27.025,3.0875
27.033,3.0923
27.044,3.0894
27.053,3.0943
27.063,3.0913
27.072,3.0962
27.084,3.0933
27.093,3.0982
27.104,3.0952
27.112,3.1002
27.123,3.0972
27.132,3.1023
27.143,3.0992
27.153,3.1043
27.163,3.1012
27.172,3.1064
27.184,3.1033
27.192,3.1085
27.203,3.1053
27.240,3.1106
27.261,3.1074
27.262,3.1127
27.263,3.1095
27.263,3.1148
27.264,3.1116
27.272,3.1170
27.283,3.1138
27.291,3.1192
27.303,3.1159
27.313,3.1214
27.323,3.1181
27.332,3.1236
27.344,3.1203
27.352,3.1258
27.363,3.1225
27.372,3.1281
27.383,3.1247
27.393,3.1304
27.404,3.1270
27.413,3.1327
27.424,3.1292
27.432,3.1350
27.443,3.1315
27.453,3.1373
27.463,3.1338
27.476,3.1396
27.485,3.1361
27.492,3.1420
27.503,3.1385
27.512,3.1444
27.523,3.1408
27.532,3.1468
27.542,3.1432
27.552,3.1492
27.564,3.1456
27.572,3.1517
27.584,3.1480
27.593,3.1541
27.604,3.1505
27.614,3.1566
27.624,3.1529
27.632,3.1591
