t,robot,frontier,change,recency,revisit,score,new_cells,changed_cells,elapsed_s,decision
15.604,amr1,1.0000,0.0000,0.0000,0.0000,1.2000,783,0,0.000,ACCEPT
17.440,amr2,1.0000,0.0000,0.0000,0.0000,1.2000,782,0,0.000,ACCEPT
17.594,amr1,0.0000,0.0000,0.0995,0.1667,-0.0005,0,0,1.990,DEFER
19.423,amr2,0.0000,0.0000,0.0992,0.1667,-0.0008,0,0,1.983,DEFER
19.580,amr1,0.0000,0.0000,0.1988,0.1667,0.0988,0,0,3.976,DEFER
21.346,amr2,0.0000,0.0000,0.1953,0.1667,0.0953,0,0,3.906,DEFER
21.486,amr1,0.0000,0.0000,0.2941,0.1667,0.1941,0,0,5.882,DEFER
23.206,amr2,0.0000,0.0000,0.2883,0.1667,0.1883,0,0,5.766,DEFER
23.297,amr1,0.0000,0.0000,0.3846,0.1667,0.2847,0,0,7.693,DEFER
25.080,amr2,0.0000,0.0000,0.3820,0.1667,0.2820,0,0,7.640,DEFER
25.237,amr1,0.0000,0.0000,0.4817,0.1667,0.3817,0,0,9.633,ACCEPT
27.071,amr2,0.0000,0.0000,0.4816,0.1667,0.3816,0,0,9.631,ACCEPT
27.229,amr1,0.0000,0.0000,0.0996,0.1667,-0.0004,0,0,1.992,DEFER
29.035,amr2,0.0000,0.0000,0.0982,0.1667,-0.0018,0,0,1.964,DEFER
29.192,amr1,0.0000,0.0000,0.1977,0.1667,0.0977,0,0,3.955,DEFER
31.004,amr2,1.0000,0.0083,0.1966,0.0001,1.4066,2151,1,3.933,ACCEPT
31.160,amr1,1.0000,0.0000,0.2962,0.0000,1.4962,2082,0,5.923,ACCEPT
32.814,amr2,1.0000,0.4417,0.0905,0.0010,1.8199,8754,53,1.810,ACCEPT
32.947,amr1,1.0000,0.0000,0.0893,0.0000,1.2893,8001,0,1.787,ACCEPT
34.588,amr2,1.0000,0.7417,0.0887,0.0018,2.1776,8527,89,1.774,ACCEPT
34.725,amr1,1.0000,0.2250,0.0889,0.0009,1.5584,4951,27,1.778,ACCEPT
36.261,amr2,1.0000,0.4833,0.0837,0.0020,1.8625,6025,58,1.673,ACCEPT
36.392,amr1,1.0000,0.2167,0.0834,0.0009,1.5428,4985,26,1.667,ACCEPT
38.003,amr2,1.0000,1.0000,0.0871,0.0059,2.4836,7956,233,1.742,ACCEPT
38.149,amr1,1.0000,0.6667,0.0878,0.0037,2.0856,3971,80,1.757,ACCEPT
39.738,amr2,1.0000,0.6583,0.0867,0.0052,2.0736,3341,79,1.735,ACCEPT
39.871,amr1,1.0000,0.5250,0.0861,0.0026,1.9145,5113,63,1.722,ACCEPT
41.508,amr2,1.0000,1.0000,0.0885,0.0359,2.4670,1718,237,1.770,ACCEPT
41.647,amr1,1.0000,1.0000,0.0888,0.0065,2.4849,4066,124,1.776,ACCEPT
43.302,amr2,0.0000,0.0000,0.0897,0.1699,-0.0123,0,0,1.794,DEFER
43.444,amr1,1.0000,1.0000,0.0898,0.0165,2.4800,3873,265,1.797,ACCEPT
45.107,amr2,0.0000,0.0000,0.1799,0.1699,0.0780,0,0,3.599,DEFER
45.249,amr1,1.0000,0.5083,0.0902,0.0105,1.8940,1418,61,1.805,ACCEPT
46.909,amr2,0.0000,0.0000,0.2701,0.1699,0.1681,0,0,5.401,DEFER
47.056,amr1,1.0000,0.6667,0.0904,0.0173,2.0800,1199,80,1.807,ACCEPT
48.738,amr2,0.0000,0.0000,0.3615,0.1699,0.2595,0,0,7.230,DEFER
48.893,amr1,0.3925,0.1333,0.0918,0.0202,0.7107,157,16,1.837,ACCEPT
50.593,amr2,0.0000,0.0000,0.4543,0.1699,0.3523,0,0,9.085,ACCEPT
50.738,amr1,0.0000,0.0000,0.0923,0.1697,-0.0096,0,0,1.845,DEFER
52.456,amr2,0.0000,0.0000,0.0931,0.1699,-0.0088,0,0,1.863,DEFER
52.586,amr1,0.0000,0.0000,0.1847,0.1697,0.0828,0,0,3.693,DEFER
