robot,payload,stage,t,v
amr1,unloaded,nav,27.102,0.5000
amr1,unloaded,nav,27.123,0.5000
amr1,unloaded,nav,27.142,0.5000
amr1,unloaded,nav,27.160,0.5000
amr1,unloaded,nav,27.180,0.5000
amr1,unloaded,nav,27.201,0.5000
amr1,unloaded,nav,27.224,0.5000
amr1,unloaded,nav,27.243,0.5000
amr1,unloaded,nav,27.260,0.5000
amr1,unloaded,nav,27.280,0.5000
amr1,unloaded,nav,27.301,0.5000
amr1,unloaded,nav,27.320,0.5000
amr1,unloaded,nav,27.341,0.5000
amr1,unloaded,nav,27.360,0.5000
amr1,unloaded,nav,27.380,0.5000
amr1,unloaded,nav,27.401,0.5000
amr1,unloaded,nav,27.422,0.5000
amr1,unloaded,nav,27.440,0.5000
amr1,unloaded,nav,27.461,0.5000
amr1,unloaded,nav,27.481,0.5000
amr1,unloaded,nav,27.501,0.5000
amr1,unloaded,nav,27.521,0.5000
amr1,unloaded,nav,27.541,0.5000
amr1,unloaded,nav,27.561,0.5000
amr1,unloaded,nav,27.581,0.5000
amr1,unloaded,nav,27.600,0.5000
amr1,unloaded,nav,27.623,0.5000
amr1,unloaded,nav,27.641,0.5000
amr1,unloaded,nav,27.661,0.5000
amr1,unloaded,nav,27.680,0.5000
amr1,unloaded,nav,27.700,0.5000
amr1,unloaded,nav,27.720,0.5000
amr1,unloaded,nav,27.742,0.5000
amr1,unloaded,nav,27.760,0.5000
amr1,unloaded,nav,27.780,0.5000
amr1,unloaded,nav,27.800,0.5000
amr1,unloaded,nav,27.821,0.5000
amr1,unloaded,nav,27.841,0.5000
amr1,unloaded,nav,27.860,0.5000
amr1,unloaded,nav,27.881,0.5000
amr1,unloaded,nav,27.900,0.5000
amr1,unloaded,nav,27.921,0.5000
amr1,unloaded,nav,27.941,0.5000
amr1,unloaded,nav,27.960,0.5000
amr1,unloaded,nav,27.983,0.5000
amr1,unloaded,nav,28.000,0.5000
amr1,unloaded,nav,28.021,0.5000
amr1,unloaded,nav,28.042,0.5000
amr1,unloaded,nav,28.061,0.5000
amr1,unloaded,nav,28.081,0.5000
amr1,unloaded,nav,28.103,0.5000
amr1,unloaded,nav,28.121,0.5000
amr1,unloaded,nav,28.140,0.5000
amr1,unloaded,nav,28.161,0.5000
amr1,unloaded,nav,28.180,0.5000
amr1,unloaded,nav,28.200,0.5000
amr1,unloaded,nav,28.221,0.5000
amr1,unloaded,nav,28.242,0.5000
amr1,unloaded,nav,28.261,0.5000
amr1,unloaded,nav,28.280,0.5000
amr1,unloaded,nav,28.300,0.5000
amr1,unloaded,nav,28.320,0.5000
amr1,unloaded,nav,28.340,0.5000
amr1,unloaded,nav,28.361,0.5000
amr1,unloaded,nav,28.380,0.5000
amr1,unloaded,nav,28.401,0.5000
amr1,unloaded,nav,28.420,0.5000
amr1,unloaded,nav,28.441,0.5000
amr1,unloaded,nav,28.463,0.5000
amr1,unloaded,nav,28.480,0.5000
amr1,unloaded,nav,28.500,0.5000
amr1,unloaded,nav,28.520,0.5000
amr1,unloaded,nav,28.543,0.5000
amr1,unloaded,nav,28.562,0.5000
amr1,unloaded,nav,28.581,0.5000
amr1,unloaded,nav,28.601,0.5000
amr1,unloaded,nav,28.620,0.5000
amr1,unloaded,nav,28.640,0.5000
amr1,unloaded,nav,28.662,0.5000
amr1,unloaded,nav,28.680,0.5000
amr1,unloaded,nav,28.701,0.5000
amr1,unloaded,nav,28.721,0.5000
amr1,unloaded,nav,28.741,0.5000
amr1,unloaded,nav,28.760,0.5000
amr1,unloaded,nav,28.781,0.5000
amr1,unloaded,nav,28.800,0.5000
amr1,unloaded,nav,28.821,0.5000
amr1,unloaded,nav,28.846,0.5000
amr1,unloaded,nav,28.861,0.5000
amr1,unloaded,nav,28.881,0.5000
amr1,unloaded,nav,28.900,0.5000
amr1,unloaded,nav,28.921,0.5000
amr1,unloaded,nav,28.940,0.5000
amr1,unloaded,nav,28.960,0.5000
amr1,unloaded,nav,28.981,0.5000
amr1,unloaded,nav,29.000,0.5000
amr1,unloaded,nav,29.024,0.5000
amr1,unloaded,nav,29.041,0.5000
amr1,unloaded,nav,29.060,0.5000
amr1,unloaded,nav,29.080,0.5000
amr1,unloaded,nav,29.101,0.5000
amr1,unloaded,nav,29.121,0.5000
amr1,unloaded,nav,29.140,0.5000
amr1,unloaded,nav,29.162,0.5000
amr1,unloaded,nav,29.180,0.5000
amr1,unloaded,nav,29.201,0.5000
amr1,unloaded,nav,29.221,0.5000
amr1,unloaded,nav,29.240,0.5000
amr1,unloaded,nav,29.261,0.5000
amr1,unloaded,nav,29.281,0.5000
amr1,unloaded,nav,29.300,0.5000
amr1,unloaded,nav,29.321,0.5000
amr1,unloaded,nav,29.340,0.5000
amr1,unloaded,nav,29.361,0.5000
amr1,unloaded,nav,29.381,0.5000
amr1,unloaded,nav,29.401,0.5000
amr1,unloaded,nav,29.421,0.5000
amr1,unloaded,nav,29.441,0.5000
amr1,unloaded,nav,29.461,0.5000
amr1,unloaded,nav,29.481,0.5000
amr1,unloaded,nav,29.501,0.5000
amr1,unloaded,nav,29.523,0.5000
amr1,unloaded,nav,29.542,0.5000
amr1,unloaded,nav,29.561,0.5000
amr1,unloaded,nav,29.582,0.5000
amr1,unloaded,nav,29.601,0.5000
amr1,unloaded,nav,29.620,0.5000
amr1,unloaded,nav,29.644,0.5000
amr1,unloaded,nav,29.661,0.5000
amr1,unloaded,nav,29.681,0.5000
amr1,unloaded,nav,29.700,0.5000
amr1,unloaded,nav,29.721,0.5000
amr1,unloaded,nav,29.740,0.5000
amr1,unloaded,nav,29.760,0.5000
amr1,unloaded,nav,29.780,0.5000
amr1,unloaded,nav,29.800,0.5000
amr1,unloaded,nav,29.822,0.5000
amr1,unloaded,nav,29.840,0.5000
amr1,unloaded,nav,29.861,0.5000
amr1,unloaded,nav,29.881,0.5000
amr1,unloaded,nav,29.900,0.5000
amr1,unloaded,nav,29.921,0.5000
amr1,unloaded,nav,29.940,0.5000
amr1,unloaded,nav,29.960,0.5000
amr1,unloaded,nav,29.980,0.5000
amr1,unloaded,nav,30.000,0.5000
amr1,unloaded,nav,30.022,0.5000
amr1,unloaded,nav,30.040,0.5000
amr1,unloaded,nav,30.061,0.5000
amr1,unloaded,nav,30.080,0.5000
amr1,unloaded,nav,30.100,0.5000
amr1,unloaded,nav,30.120,0.5000
amr1,unloaded,nav,30.140,0.5000
amr1,unloaded,nav,30.161,0.5000
amr1,unloaded,nav,30.181,0.5000
amr1,unloaded,nav,30.200,0.5000
amr1,unloaded,nav,30.221,0.5000
amr1,unloaded,nav,30.240,0.5000
amr1,unloaded,nav,30.261,0.5000
amr1,unloaded,nav,30.281,0.5000
amr1,unloaded,nav,30.300,0.5000
amr1,unloaded,nav,30.320,0.5000
amr1,unloaded,nav,30.342,0.5000
amr1,unloaded,nav,30.360,0.5000
amr1,unloaded,nav,30.380,0.5000
amr1,unloaded,nav,30.400,0.5000
amr1,unloaded,nav,30.420,0.5000
amr1,unloaded,nav,30.441,0.5000
amr1,unloaded,nav,30.461,0.5000
amr1,unloaded,nav,30.482,0.5000
amr1,unloaded,nav,30.500,0.5000
amr1,unloaded,nav,30.521,0.5000
amr1,unloaded,nav,30.540,0.5000
amr1,unloaded,nav,30.562,0.5000
amr1,unloaded,nav,30.581,0.5000
amr1,unloaded,nav,30.600,0.5000
amr1,unloaded,nav,30.620,0.5000
amr1,unloaded,nav,30.641,0.5000
amr1,unloaded,nav,30.661,0.5000
amr1,unloaded,nav,30.681,0.5000
amr1,unloaded,nav,30.701,0.5000
amr1,unloaded,nav,30.721,0.5000
amr1,unloaded,nav,30.741,0.5000
amr1,unloaded,nav,30.762,0.5000
amr1,unloaded,nav,30.782,0.5000
amr1,unloaded,nav,30.800,0.5000
amr1,unloaded,nav,30.820,0.5000
amr1,unloaded,nav,30.841,0.5000
amr1,unloaded,nav,30.861,0.5000
amr1,unloaded,nav,30.881,0.5000
amr1,unloaded,nav,30.901,0.5000
amr1,unloaded,nav,30.921,0.5000
amr1,unloaded,nav,30.940,0.5000
amr1,unloaded,nav,30.960,0.5000
amr1,unloaded,nav,30.984,0.5000
amr1,unloaded,nav,31.002,0.5000
amr1,unloaded,nav,31.020,0.5000
amr1,unloaded,nav,31.040,0.5000
amr1,unloaded,nav,31.061,0.5000
amr1,unloaded,nav,31.081,0.5000
amr1,unloaded,nav,31.100,0.5000
amr1,unloaded,nav,31.120,0.5000
amr1,unloaded,nav,31.140,0.5000
amr1,unloaded,nav,31.161,0.5000
amr1,unloaded,nav,31.181,0.5000
amr1,unloaded,nav,31.200,0.5000
amr1,unloaded,nav,31.222,0.5000
amr1,unloaded,nav,31.241,0.5000
amr1,unloaded,nav,31.261,0.5000
amr1,unloaded,nav,31.281,0.5000
amr1,unloaded,nav,31.301,0.5000
amr1,unloaded,nav,31.320,0.5000
amr1,unloaded,nav,31.341,0.5000
amr1,unloaded,nav,31.360,0.5000
amr1,unloaded,nav,31.381,0.5000
amr1,unloaded,nav,31.401,0.5000
amr1,unloaded,nav,31.420,0.5000
amr1,unloaded,nav,31.441,0.5000
amr1,unloaded,nav,31.461,0.5000
amr1,unloaded,nav,31.481,0.5000
amr1,unloaded,nav,31.500,0.5000
amr1,unloaded,nav,31.520,0.5000
amr1,unloaded,nav,31.541,0.5000
amr1,unloaded,nav,31.560,0.5000
amr1,unloaded,nav,31.581,0.5000
amr1,unloaded,nav,31.600,0.5000
amr1,unloaded,nav,31.620,0.5000
amr1,unloaded,nav,31.640,0.5000
amr1,unloaded,nav,31.662,0.5000
amr1,unloaded,nav,31.680,0.5000
amr1,unloaded,nav,31.700,0.5000
amr1,unloaded,nav,31.721,0.5000
amr1,unloaded,nav,31.741,0.5000
amr1,unloaded,nav,31.762,0.5000
amr1,unloaded,nav,31.780,0.5000
amr1,unloaded,nav,31.800,0.5000
amr1,unloaded,nav,31.820,0.5000
amr1,unloaded,nav,31.840,0.5000
amr1,unloaded,nav,31.861,0.5000
amr1,unloaded,nav,31.880,0.5000
amr1,unloaded,nav,31.900,0.5000
amr1,unloaded,nav,31.921,0.5000
amr1,unloaded,nav,31.941,0.5000
amr1,unloaded,nav,31.961,0.5000
amr1,unloaded,nav,31.981,0.5000
amr1,unloaded,nav,32.000,0.5000
amr1,unloaded,nav,32.020,0.5000
amr1,unloaded,nav,32.041,0.5000
amr1,unloaded,nav,32.061,0.5000
amr1,unloaded,nav,32.080,0.5000
amr1,unloaded,nav,32.101,0.5000
amr1,unloaded,nav,32.121,0.5000
amr1,unloaded,nav,32.141,0.5000
amr1,unloaded,nav,32.161,0.5000
amr1,unloaded,nav,32.180,0.5000
amr1,unloaded,nav,32.200,0.5000
amr1,unloaded,nav,32.221,0.5000
amr1,unloaded,nav,32.242,0.5000
amr1,unloaded,nav,32.261,0.5000
amr1,unloaded,nav,32.280,0.5000
amr1,unloaded,nav,32.300,0.5000
amr1,unloaded,nav,32.321,0.5000
amr1,unloaded,nav,32.342,0.5000
amr1,unloaded,nav,32.360,0.5000
amr1,unloaded,nav,32.381,0.5000
amr1,unloaded,nav,32.400,0.5000
amr1,unloaded,nav,32.421,0.5000
amr1,unloaded,nav,32.441,0.5000
amr1,unloaded,nav,32.460,0.5000
amr1,unloaded,nav,32.480,0.5000
amr1,unloaded,nav,32.500,0.5000
amr1,unloaded,nav,32.521,0.5000
amr1,unloaded,nav,32.541,0.5000
amr1,unloaded,nav,32.562,0.5000
amr1,unloaded,nav,32.581,0.5000
amr1,unloaded,nav,32.602,0.5000
amr1,unloaded,nav,32.621,0.5000
amr1,unloaded,nav,32.641,0.5000
amr1,unloaded,nav,32.661,0.5000
amr1,unloaded,nav,32.680,0.5000
amr1,unloaded,nav,32.700,0.5000
amr1,unloaded,nav,32.720,0.5000
amr1,unloaded,nav,32.741,0.5000
amr1,unloaded,nav,32.763,0.5000
amr1,unloaded,nav,32.781,0.5000
amr1,unloaded,nav,32.800,0.5000
amr1,unloaded,nav,32.822,0.5000
amr1,unloaded,nav,32.841,0.5000
amr1,unloaded,nav,32.861,0.5000
amr1,unloaded,nav,32.881,0.5000
amr1,unloaded,nav,32.900,0.5000
amr1,unloaded,nav,32.920,0.5000
amr1,unloaded,nav,32.940,0.5000
amr1,unloaded,nav,32.960,0.5000
amr1,unloaded,nav,32.981,0.5000
amr1,unloaded,nav,33.000,0.5000
amr1,unloaded,nav,33.020,0.5000
amr1,unloaded,nav,33.040,0.5000
amr1,unloaded,nav,33.061,0.5000
amr1,unloaded,nav,33.080,0.5000
amr1,unloaded,nav,33.100,0.5000
amr1,unloaded,nav,33.121,0.5000
amr1,unloaded,nav,33.140,0.5000
amr1,unloaded,nav,33.161,0.5000
amr1,unloaded,nav,33.180,0.5000
amr1,unloaded,nav,33.201,0.5000
amr1,unloaded,nav,33.221,0.5000
amr1,unloaded,nav,33.241,0.5000
amr1,unloaded,nav,33.261,0.5000
amr1,unloaded,nav,33.281,0.5000
amr1,unloaded,nav,33.300,0.5000
amr1,unloaded,nav,33.320,0.5000
amr1,unloaded,nav,33.340,0.5000
amr1,unloaded,nav,33.360,0.5000
amr1,unloaded,nav,33.380,0.5000
amr1,unloaded,nav,33.402,0.5000
amr1,unloaded,nav,33.421,0.5000
amr1,unloaded,nav,33.441,0.5000
amr1,unloaded,nav,33.460,0.5000
amr1,unloaded,nav,33.480,0.5000
amr1,unloaded,nav,33.500,0.5000
amr1,unloaded,nav,33.521,0.5000
amr1,unloaded,nav,33.541,0.5000
amr1,unloaded,nav,33.563,0.5000
amr1,unloaded,nav,33.582,0.5000
amr1,unloaded,nav,33.600,0.5000
amr1,unloaded,nav,33.620,0.5000
amr1,unloaded,nav,33.641,0.5000
amr1,unloaded,nav,33.660,0.5000
amr1,unloaded,nav,33.681,0.5000
amr1,unloaded,nav,33.702,0.5000
amr1,unloaded,nav,33.720,0.5000
amr1,unloaded,nav,33.741,0.5000
amr1,unloaded,nav,33.760,0.5000
amr1,unloaded,nav,33.781,0.5000
amr1,unloaded,nav,33.800,0.5000
amr1,unloaded,nav,33.822,0.5000
amr1,unloaded,nav,33.841,0.5000
amr1,unloaded,nav,33.860,0.5000
amr1,unloaded,nav,33.880,0.5000
amr1,unloaded,nav,33.901,0.5000
amr1,unloaded,nav,33.920,0.5000
amr1,unloaded,nav,33.941,0.5000
amr1,unloaded,nav,33.962,0.5000
amr1,unloaded,nav,33.981,0.5000
amr1,unloaded,nav,34.000,0.5000
amr1,unloaded,nav,34.020,0.5000
amr1,unloaded,nav,34.041,0.5000
amr1,unloaded,nav,34.061,0.5000
amr1,unloaded,nav,34.081,0.5000
