t,probe_dt_s,cost,predicted_cost,lead_m,separation_m,peak_cost
30.044,1.569,0,142.3,0.239,3.000,0
30.336,1.505,0,145.3,0.240,2.988,0
30.629,1.763,0,133.4,0.502,2.915,0
30.924,1.965,0,124.7,0.708,2.775,0
31.215,1.912,0,126.9,0.991,2.585,0
31.504,1.983,0,123.9,1.205,2.404,0
31.795,1.888,0,127.9,1.150,2.221,0
32.089,1.994,0,123.5,1.209,2.053,0
32.374,1.909,0,127.0,1.166,1.913,0
32.663,2.020,0,122.4,1.223,1.790,0
32.952,1.931,0,126.1,1.168,1.680,0
33.240,2.043,0,121.5,1.241,1.601,0
33.531,1.952,0,125.2,1.186,1.546,0
33.784,1.899,0,127.4,1.142,1.529,0
34.049,2.034,0,121.8,1.224,1.541,0
34.341,1.928,0,126.2,1.144,1.590,0
34.631,2.046,0,121.4,1.236,1.670,0
34.919,1.960,0,124.9,1.193,1.766,0
35.212,1.825,0,130.6,0.985,1.893,0
35.503,1.866,0,128.8,0.737,2.064,0
35.795,2.091,0,119.5,0.533,2.310,0
36.089,1.569,0,142.3,0.333,2.605,0
36.381,1.456,0,147.7,0.276,2.883,0
36.671,1.566,0,142.4,0.277,3.176,0
36.967,1.470,0,147.0,0.258,3.452,0
37.255,1.877,0,128.4,0.466,3.687,0
37.551,2.046,0,121.4,0.619,3.928,0
37.838,1.764,0,133.3,0.667,4.096,0
38.132,2.321,0,110.7,0.692,4.185,0
38.429,1.964,0,124.7,0.521,4.210,0
38.722,1.598,0,140.9,0.504,4.159,0
39.015,2.198,0,115.3,1.015,4.067,0
39.310,2.227,0,114.2,1.195,3.933,0
39.603,2.056,0,120.9,1.270,3.782,0
39.898,1.941,0,125.7,1.182,3.614,0
40.192,1.844,0,129.8,1.101,3.443,0
40.489,1.946,0,125.5,1.150,3.269,0
40.782,1.852,0,129.4,1.070,3.106,0
41.075,1.956,0,125.0,1.103,2.929,0
41.370,1.858,0,129.2,1.040,2.750,0
41.661,1.970,0,124.5,1.078,2.582,0
41.949,1.926,0,126.3,1.077,2.403,0
42.242,1.998,0,123.3,1.102,2.241,0
42.535,1.931,0,126.1,1.086,2.077,0
42.827,2.056,0,121.0,1.230,1.938,0
43.119,1.964,0,124.7,1.187,1.809,0
43.413,2.070,0,120.4,1.242,1.706,0
43.704,1.979,0,124.1,1.203,1.635,0
43.998,1.885,0,128.0,1.125,1.589,0
44.291,1.992,0,123.5,1.193,1.572,0
44.570,1.913,0,126.8,1.125,1.581,0
44.860,2.023,0,122.3,1.207,1.611,0
45.152,1.931,0,126.1,1.152,1.665,0
45.444,2.039,0,121.6,1.233,1.730,0
45.738,1.945,0,125.5,1.153,1.814,0
46.034,2.049,0,121.2,1.223,1.911,0
46.326,1.954,0,125.1,1.181,2.012,0
46.615,1.807,0,131.4,1.070,2.128,0
46.912,1.500,0,145.6,0.890,2.252,0
