t,probe_dt_s,cost,predicted_cost,lead_m,separation_m,peak_cost
29.870,1.571,240,142.2,0.244,2.991,240
30.165,2.182,171,116.0,0.463,2.927,240
30.430,1.981,155,124.0,0.758,2.808,240
30.699,2.108,143,118.9,0.962,2.644,240
30.986,2.159,137,116.9,1.158,2.456,240
31.258,2.025,140,122.2,1.215,2.281,240
31.557,1.920,145,126.6,1.163,2.104,240
31.825,2.058,159,120.9,1.232,1.986,240
32.118,1.965,143,124.7,1.177,1.881,240
32.410,2.066,138,120.5,1.212,1.807,240
32.698,1.985,142,123.8,1.182,1.726,240
32.993,1.890,147,127.8,1.127,1.661,240
33.284,1.999,142,123.2,1.209,1.631,240
33.577,1.900,146,127.4,1.132,1.612,240
33.867,2.016,141,122.6,1.239,1.666,240
34.160,1.923,145,126.4,1.159,1.727,240
34.453,2.049,140,121.2,1.138,1.832,240
34.745,2.166,142,116.6,0.896,2.001,240
35.039,1.593,240,141.1,0.306,2.207,240
35.333,1.499,240,145.6,0.303,2.487,240
35.626,1.357,240,152.7,0.208,2.766,240
35.918,2.695,240,97.7,0.373,3.001,240
36.210,2.161,151,116.8,0.490,3.231,240
36.500,1.757,164,133.6,0.674,3.409,240
36.793,1.860,153,129.1,0.839,3.578,240
37.087,1.926,145,126.3,1.152,3.729,240
37.377,1.862,148,129.0,1.073,3.791,240
37.673,1.974,143,124.3,1.125,3.757,240
37.966,1.868,170,128.8,1.064,3.662,240
38.260,1.985,142,123.8,1.135,3.485,240
38.535,1.865,148,128.9,0.997,3.319,240
38.831,1.981,142,124.0,1.011,3.142,240
39.126,1.907,146,127.1,1.033,2.978,240
39.421,1.958,144,125.0,0.845,2.804,240
39.717,1.862,148,129.0,0.668,2.636,240
40.012,2.071,138,120.3,1.231,2.477,240
40.306,1.977,143,124.2,1.198,2.342,240
40.597,1.886,147,128.0,1.150,2.213,240
40.893,1.990,142,123.6,1.203,2.109,240
41.182,1.901,146,127.3,1.140,2.034,240
41.475,2.008,141,122.9,1.186,1.979,240
41.773,1.910,146,127.0,1.131,1.946,240
42.068,2.015,141,122.6,1.188,1.935,240
42.360,1.923,145,126.4,1.133,1.942,240
42.655,2.028,140,122.1,1.204,1.969,240
42.952,1.931,145,126.1,1.149,2.013,240
43.246,2.037,140,121.7,1.205,2.068,240
43.541,1.942,144,125.6,1.150,2.141,240
43.837,1.872,160,128.6,1.116,2.226,240
44.131,1.536,165,143.8,0.916,2.321,240
