t,separation_m
29.866,3.0000
29.866,3.0000
29.867,3.0000
29.868,3.0000
29.868,3.0000
29.869,3.0000
29.869,3.0000
29.869,3.0000
29.869,3.0000
29.869,3.0000
29.870,3.0000
29.879,3.0000
29.888,3.0000
29.888,3.0000
29.889,3.0000
29.889,3.0000
29.889,3.0000
29.890,3.0000
29.890,3.0000
29.890,3.0000
29.890,3.0000
29.890,3.0000
29.890,3.0000
29.890,3.0000
29.890,3.0000
29.891,3.0000
29.891,3.0000
29.891,3.0000
29.891,3.0000
29.905,3.0000
29.908,3.0000
29.926,3.0000
29.928,3.0000
29.945,3.0000
29.949,3.0000
29.966,3.0000
29.968,3.0000
29.986,3.0000
29.988,3.0000
30.006,2.9999
30.008,2.9999
30.025,2.9999
30.028,2.9999
30.047,2.9998
30.048,2.9998
30.065,2.9997
30.068,2.9997
30.086,2.9996
30.088,2.9995
30.106,2.9993
30.109,2.9993
30.126,2.9990
30.128,2.9990
30.145,2.9987
30.149,2.9986
30.165,2.9982
30.169,2.9981
30.186,2.9976
30.188,2.9975
30.205,2.9969
30.208,2.9967
30.225,2.9960
30.228,2.9958
30.245,2.9949
30.248,2.9947
30.265,2.9937
30.268,2.9934
30.285,2.9922
30.288,2.9919
30.305,2.9905
30.309,2.9901
30.326,2.9885
30.328,2.9881
30.348,2.9862
30.349,2.9857
30.366,2.9836
30.368,2.9831
30.385,2.9807
30.389,2.9800
30.405,2.9774
30.408,2.9767
30.426,2.9737
30.428,2.9730
30.448,2.9698
30.449,2.9689
30.465,2.9654
30.468,2.9645
30.486,2.9607
30.488,2.9596
30.506,2.9556
30.508,2.9544
30.525,2.9501
30.528,2.9488
30.545,2.9442
30.549,2.9429
30.565,2.9380
30.569,2.9365
30.585,2.9314
30.588,2.9298
30.607,2.9244
30.608,2.9227
30.625,2.9171
30.627,2.9152
30.645,2.9094
30.650,2.9073
30.665,2.9013
30.669,2.8991
30.685,2.8929
30.689,2.8906
30.705,2.8842
30.709,2.8817
30.725,2.8751
30.729,2.8724
30.745,2.8657
30.748,2.8629
30.767,2.8560
30.769,2.8530
30.785,2.8459
30.788,2.8428
30.806,2.8356
30.808,2.8323
30.825,2.8249
30.828,2.8214
30.845,2.8139
30.848,2.8103
30.865,2.8026
30.869,2.7988
30.887,2.7911
30.904,2.7871
30.905,2.7792
30.908,2.7750
30.925,2.7672
30.929,2.7629
30.945,2.7550
30.949,2.7505
30.965,2.7428
30.968,2.7381
30.985,2.7304
30.988,2.7255
31.005,2.7180
31.009,2.7129
31.025,2.7054
31.029,2.7003
31.045,2.6929
31.049,2.6875
31.065,2.6803
31.069,2.6748
31.085,2.6677
31.088,2.6620
31.106,2.6550
31.109,2.6492
31.125,2.6424
31.128,2.6364
31.146,2.6297
31.148,2.6235
31.165,2.6170
31.168,2.6107
31.186,2.6043
31.189,2.5978
31.205,2.5915
31.208,2.5849
31.225,2.5787
31.229,2.5720
31.245,2.5659
31.249,2.5590
31.265,2.5531
31.270,2.5461
31.285,2.5403
31.288,2.5332
31.307,2.5275
31.308,2.5202
31.326,2.5146
31.328,2.5072
31.345,2.5017
31.348,2.4942
31.365,2.4889
31.368,2.4812
31.385,2.4759
31.389,2.4681
31.405,2.4630
31.408,2.4551
31.425,2.4501
31.429,2.4422
31.446,2.4372
31.449,2.4293
31.465,2.4245
31.468,2.4165
31.485,2.4117
31.488,2.4037
31.507,2.3991
31.509,2.3911
31.525,2.3865
31.529,2.3785
31.546,2.3740
31.548,2.3659
31.565,2.3616
31.569,2.3535
31.585,2.3493
31.589,2.3411
31.605,2.3370
31.608,2.3287
31.625,2.3247
31.629,2.3165
31.646,2.3126
31.649,2.3043
31.665,2.3005
31.668,2.2922
31.685,2.2885
31.690,2.2801
31.705,2.2765
31.708,2.2681
31.725,2.2646
31.730,2.2561
31.746,2.2528
31.748,2.2443
31.765,2.2410
31.768,2.2325
31.785,2.2293
31.788,2.2207
31.806,2.2176
31.809,2.2090
31.826,2.2061
31.829,2.1974
31.845,2.1945
31.849,2.1859
31.878,2.1831
31.900,2.1744
31.901,2.1717
31.902,2.1629
31.906,2.1604
31.909,2.1516
31.926,2.1491
31.929,2.1403
31.946,2.1380
31.948,2.1291
31.965,2.1269
