t,separation_m
29.434,3.0000
29.445,3.0000
29.451,3.0000
29.462,3.0000
29.470,3.0000
29.481,3.0000
29.490,3.0000
29.502,3.0000
29.511,3.0000
29.522,3.0000
29.530,3.0000
29.542,3.0000
29.550,3.0000
29.561,3.0000
29.570,3.0000
29.582,2.9999
29.590,2.9999
29.602,2.9999
29.611,2.9998
29.621,2.9998
29.630,2.9997
29.641,2.9996
29.651,2.9996
29.661,2.9994
29.671,2.9994
29.681,2.9992
29.690,2.9991
29.701,2.9988
29.710,2.9987
29.722,2.9984
29.730,2.9983
29.741,2.9978
29.750,2.9977
29.762,2.9972
29.770,2.9970
29.781,2.9963
29.790,2.9962
29.802,2.9953
29.810,2.9951
29.822,2.9942
29.831,2.9939
29.842,2.9928
29.850,2.9925
29.861,2.9911
29.870,2.9908
29.882,2.9893
29.890,2.9889
29.902,2.9871
29.911,2.9866
29.921,2.9846
29.930,2.9841
29.942,2.9818
29.950,2.9812
29.962,2.9787
29.970,2.9780
29.981,2.9752
29.991,2.9745
30.002,2.9714
30.010,2.9705
30.021,2.9672
30.030,2.9663
30.041,2.9626
30.050,2.9616
30.061,2.9577
30.071,2.9566
30.082,2.9524
30.090,2.9512
30.102,2.9467
30.111,2.9454
30.122,2.9407
30.130,2.9392
30.141,2.9343
30.150,2.9327
30.162,2.9275
30.170,2.9257
30.181,2.9203
30.191,2.9185
30.201,2.9128
30.210,2.9108
30.221,2.9049
30.231,2.9028
30.241,2.8967
30.251,2.8944
30.262,2.8882
30.270,2.8857
30.282,2.8793
30.290,2.8767
30.302,2.8701
30.311,2.8673
30.321,2.8606
30.331,2.8576
30.342,2.8507
30.350,2.8476
30.361,2.8406
30.370,2.8373
30.381,2.8301
30.390,2.8267
30.433,2.8193
30.434,2.8157
30.435,2.8082
30.435,2.8044
30.442,2.7968
30.450,2.7928
30.462,2.7850
30.471,2.7809
30.481,2.7731
30.490,2.7689
30.502,2.7611
30.513,2.7567
30.521,2.7490
30.531,2.7444
30.541,2.7369
30.550,2.7321
30.562,2.7247
30.570,2.7197
30.581,2.7124
30.591,2.7073
30.603,2.7000
30.611,2.6948
30.622,2.6876
30.631,2.6822
30.641,2.6752
30.651,2.6696
30.662,2.6627
30.670,2.6569
30.681,2.6501
30.690,2.6442
30.702,2.6375
30.711,2.6314
30.721,2.6248
30.731,2.6186
30.741,2.6121
30.750,2.6058
30.762,2.5993
30.770,2.5928
30.782,2.5865
30.790,2.5799
30.802,2.5736
30.811,2.5669
30.821,2.5607
30.831,2.5538
30.842,2.5478
30.851,2.5407
30.862,2.5348
30.870,2.5276
30.881,2.5218
30.890,2.5144
30.901,2.5087
30.910,2.5012
30.921,2.4956
30.931,2.4880
30.943,2.4824
30.951,2.4746
30.961,2.4692
30.970,2.4613
30.981,2.4559
30.991,2.4480
31.001,2.4427
31.010,2.4348
31.021,2.4296
31.030,2.4216
