t,separation_m
24.664,3.0000
24.683,3.0000
24.684,3.0000
24.693,3.0000
24.702,3.0000
24.713,3.0000
24.721,3.0000
24.734,3.0000
24.741,3.0000
24.753,3.0000
24.760,3.0000
24.773,3.0000
24.779,3.0000
24.793,3.0000
24.801,3.0000
24.812,3.0000
24.821,3.0000
24.834,3.0000
24.840,3.0000
24.855,3.0000
24.861,3.0000
24.874,3.0000
24.880,3.0000
24.893,3.0000
24.900,3.0000
24.912,3.0000
24.919,3.0000
24.933,3.0000
24.940,3.0000
24.953,3.0000
24.960,3.0000
24.973,3.0000
24.980,3.0000
24.993,3.0000
25.001,3.0000
25.014,3.0000
25.021,3.0000
25.033,3.0000
25.040,3.0000
25.053,3.0000
25.082,3.0000
25.082,3.0000
25.082,3.0000
25.093,3.0000
25.100,3.0000
25.114,3.0000
25.122,3.0000
25.134,3.0000
25.140,3.0000
25.153,3.0000
25.161,3.0000
25.175,3.0000
25.181,3.0000
25.193,3.0000
25.200,3.0001
25.214,3.0001
25.221,3.0001
25.233,3.0001
25.241,3.0001
25.254,3.0001
25.260,3.0001
25.273,3.0001
25.281,3.0001
25.294,3.0001
25.300,3.0002
25.314,3.0002
25.320,3.0002
25.334,3.0002
25.340,3.0002
25.353,3.0002
25.360,3.0003
25.373,3.0003
25.380,3.0003
25.393,3.0003
25.400,3.0004
25.413,3.0004
25.421,3.0005
25.434,3.0005
25.440,3.0005
25.455,3.0005
25.460,3.0006
25.474,3.0006
25.480,3.0007
25.528,3.0007
25.528,3.0008
25.529,3.0008
25.529,3.0009
25.532,3.0009
25.540,3.0010
25.554,3.0010
25.560,3.0012
25.574,3.0012
25.581,3.0013
25.595,3.0013
25.600,3.0015
25.613,3.0015
25.620,3.0017
25.635,3.0017
25.641,3.0018
25.653,3.0018
25.662,3.0021
25.674,3.0021
25.680,3.0023
25.693,3.0023
25.700,3.0025
25.713,3.0025
25.720,3.0028
25.733,3.0028
25.742,3.0031
25.753,3.0031
25.760,3.0034
25.773,3.0034
25.780,3.0037
25.794,3.0037
25.801,3.0040
25.814,3.0040
25.819,3.0044
25.835,3.0044
25.840,3.0048
25.853,3.0048
25.863,3.0052
25.874,3.0052
25.881,3.0057
25.893,3.0057
25.900,3.0062
25.914,3.0062
25.946,3.0067
25.947,3.0067
25.947,3.0072
25.953,3.0072
25.961,3.0078
25.973,3.0078
25.981,3.0084
25.994,3.0084
26.000,3.0091
26.013,3.0091
26.021,3.0098
26.034,3.0098
26.041,3.0105
26.053,3.0105
26.061,3.0112
26.073,3.0112
