t,separation_m
30.289,3.0000
30.313,3.0000
30.314,3.0000
30.325,3.0000
30.327,3.0000
30.345,3.0000
30.346,3.0000
30.365,3.0000
30.367,3.0000
30.386,3.0000
30.387,3.0000
30.405,3.0000
30.406,3.0000
30.425,3.0000
30.427,3.0000
30.446,3.0000
30.446,3.0000
30.465,3.0000
30.467,3.0000
30.485,3.0000
30.486,3.0000
30.505,3.0000
30.507,3.0000
30.525,3.0000
30.526,3.0000
30.546,3.0000
30.546,3.0000
30.565,3.0000
30.567,3.0000
30.585,3.0000
30.586,3.0000
30.605,3.0000
30.606,3.0000
30.626,3.0000
30.627,3.0000
30.646,3.0000
30.646,3.0000
30.665,3.0000
30.666,3.0000
30.685,3.0000
30.686,3.0000
30.705,3.0000
30.706,3.0000
30.725,3.0000
30.726,3.0000
30.745,3.0000
30.747,3.0000
30.766,3.0000
30.766,3.0000
30.786,3.0000
30.786,3.0000
30.806,3.0000
30.807,3.0000
30.825,3.0000
30.827,3.0000
30.846,3.0000
30.847,3.0000
30.866,3.0000
30.866,3.0000
30.885,3.0000
30.887,3.0000
30.906,3.0000
30.907,3.0001
30.926,3.0001
30.926,3.0001
30.945,3.0001
30.946,3.0001
30.965,3.0001
30.967,3.0001
30.985,3.0001
30.986,3.0001
31.006,3.0001
31.006,3.0002
31.025,3.0002
31.028,3.0002
31.048,3.0002
31.048,3.0002
31.065,3.0002
31.066,3.0003
31.086,3.0003
31.086,3.0003
31.106,3.0003
31.106,3.0004
31.125,3.0004
31.127,3.0005
31.145,3.0005
31.147,3.0005
31.187,3.0005
31.187,3.0006
31.187,3.0006
31.188,3.0007
31.206,3.0007
31.206,3.0008
31.225,3.0008
31.226,3.0009
31.246,3.0009
31.247,3.0011
31.265,3.0011
31.266,3.0012
31.285,3.0012
31.286,3.0014
31.305,3.0014
31.306,3.0015
31.325,3.0015
31.326,3.0017
31.346,3.0017
31.346,3.0019
31.365,3.0019
31.367,3.0021
31.386,3.0021
31.386,3.0023
31.406,3.0023
31.407,3.0026
31.426,3.0026
31.426,3.0029
31.445,3.0029
31.446,3.0032
31.465,3.0032
31.466,3.0035
31.485,3.0035
31.486,3.0038
31.505,3.0038
31.506,3.0042
31.526,3.0042
31.527,3.0045
31.545,3.0045
31.547,3.0049
31.565,3.0049
31.567,3.0054
31.586,3.0054
31.586,3.0058
31.605,3.0058
31.606,3.0063
31.625,3.0063
31.626,3.0069
31.645,3.0069
31.647,3.0074
31.665,3.0074
31.666,3.0080
31.685,3.0080
31.687,3.0086
31.706,3.0086
31.706,3.0093
31.725,3.0093
31.726,3.0100
31.745,3.0100
31.747,3.0107
31.765,3.0107
31.766,3.0115
31.786,3.0115
31.786,3.0123
31.805,3.0123
31.805,3.0132
31.828,3.0132
31.828,3.0141
31.845,3.0141
31.847,3.0150
31.866,3.0150
31.867,3.0160
31.886,3.0160
31.886,3.0171
31.906,3.0171
31.906,3.0182
31.926,3.0182
31.927,3.0193
31.946,3.0193
31.946,3.0205
31.965,3.0205
31.967,3.0218
31.986,3.0218
31.987,3.0231
32.006,3.0231
32.007,3.0244
32.035,3.0244
32.036,3.0259
32.044,3.0259
32.046,3.0273
32.065,3.0273
32.066,3.0289
32.085,3.0289
32.087,3.0305
32.106,3.0305
32.106,3.0321
32.126,3.0321
32.128,3.0338
32.146,3.0338
32.146,3.0356
32.165,3.0356
32.168,3.0374
32.185,3.0374
32.187,3.0393
32.205,3.0393
32.206,3.0412
32.225,3.0412
32.227,3.0432
32.245,3.0432
32.246,3.0452
32.266,3.0452
32.266,3.0473
32.286,3.0473
32.287,3.0494
32.305,3.0494
32.305,3.0516
32.326,3.0516
32.327,3.0538
32.345,3.0538
32.346,3.0561
32.365,3.0561
32.366,3.0584
32.385,3.0584
32.387,3.0608
32.406,3.0608
32.407,3.0632
32.425,3.0632
32.427,3.0656
32.445,3.0656
32.447,3.0681
32.465,3.0681
32.466,3.0706
32.485,3.0706
32.486,3.0732
32.505,3.0732
32.506,3.0758
32.526,3.0758
32.526,3.0785
32.546,3.0785
32.546,3.0812
32.565,3.0812
32.566,3.0840
32.585,3.0840
32.586,3.0868
32.604,3.0868
32.606,3.0896
32.625,3.0896
32.626,3.0925
32.645,3.0925
32.647,3.0955
32.665,3.0955
32.666,3.0984
32.686,3.0984
32.686,3.1015
32.706,3.1015
32.706,3.1045
32.725,3.1045
32.726,3.1076
32.745,3.1076
32.746,3.1108
32.765,3.1108
32.766,3.1140
32.785,3.1140
32.786,3.1172
32.805,3.1172
32.806,3.1205
32.825,3.1205
32.828,3.1238
32.845,3.1238
32.846,3.1272
32.888,3.1272
32.888,3.1306
32.891,3.1306
32.893,3.1341
32.905,3.1341
32.906,3.1375
32.925,3.1375
32.926,3.1411
32.944,3.1411
32.946,3.1447
32.965,3.1447
32.967,3.1483
32.985,3.1483
32.986,3.1519
33.005,3.1519
33.007,3.1556
33.025,3.1556
33.026,3.1594
33.045,3.1594
33.048,3.1632
33.065,3.1632
33.067,3.1670
33.085,3.1670
33.086,3.1709
33.105,3.1709
33.106,3.1748
33.126,3.1748
33.127,3.1787
33.146,3.1787
33.147,3.1827
33.166,3.1827
33.167,3.1867
33.185,3.1867
33.186,3.1908
33.205,3.1908
33.207,3.1949
33.225,3.1949
33.228,3.1990
33.245,3.1990
33.247,3.2032
33.265,3.2032
33.266,3.2075
33.285,3.2075
33.287,3.2117
33.306,3.2117
33.307,3.2160
33.325,3.2160
33.327,3.2204
33.345,3.2204
33.346,3.2247
33.366,3.2247
33.367,3.2292
33.386,3.2292
33.387,3.2336
33.405,3.2336
33.407,3.2381
33.426,3.2381
33.428,3.2427
33.445,3.2427
33.446,3.2472
33.466,3.2472
33.466,3.2518
33.486,3.2518
33.486,3.2565
33.506,3.2565
33.506,3.2612
33.525,3.2612
33.527,3.2659
33.545,3.2659
33.547,3.2707
33.565,3.2707
33.566,3.2755
33.587,3.2755
33.587,3.2803
33.605,3.2803
33.607,3.2852
33.626,3.2852
33.627,3.2901
33.645,3.2901
33.647,3.2950
33.666,3.2950
33.667,3.3000
33.686,3.3000
33.687,3.3050
33.706,3.3050
33.706,3.3101
33.727,3.3101
33.727,3.3152
33.745,3.3152
33.746,3.3203
33.766,3.3203
33.766,3.3255
33.785,3.3255
33.788,3.3306
33.805,3.3306
33.806,3.3359
33.825,3.3359
33.827,3.3411
33.846,3.3411
33.847,3.3464
33.865,3.3464
33.866,3.3518
33.885,3.3518
33.886,3.3571
33.905,3.3571
33.906,3.3626
33.926,3.3626
33.926,3.3680
33.946,3.3680
33.947,3.3735
33.966,3.3735
33.967,3.3790
33.985,3.3790
33.986,3.3845
34.005,3.3845
34.005,3.3901
34.026,3.3901
34.026,3.3957
34.045,3.3957
34.047,3.4013
34.066,3.4013
34.066,3.4070
34.085,3.4070
34.086,3.4127
34.105,3.4127
34.106,3.4184
34.126,3.4184
34.127,3.4242
34.145,3.4242
34.146,3.4300
34.165,3.4300
34.166,3.4358
34.186,3.4358
34.187,3.4417
34.205,3.4417
34.205,3.4476
34.225,3.4476
34.226,3.4535
34.245,3.4535
34.247,3.4595
34.265,3.4595
34.266,3.4655
34.285,3.4655
34.286,3.4715
34.305,3.4715
34.307,3.4776
34.325,3.4776
34.327,3.4836
34.346,3.4836
34.348,3.4898
34.366,3.4898
34.367,3.4959
34.385,3.4959
34.387,3.5021
34.405,3.5021
34.406,3.5083
34.427,3.5083
34.427,3.5145
34.445,3.5145
34.446,3.5208
34.465,3.5208
34.466,3.5271
34.486,3.5271
34.486,3.5334
34.506,3.5334
34.506,3.5398
34.526,3.5398
34.526,3.5461
34.556,3.5461
34.556,3.5526
34.565,3.5526
34.566,3.5590
34.585,3.5590
34.586,3.5655
34.605,3.5655
34.607,3.5720
34.625,3.5720
34.628,3.5785
34.645,3.5785
34.646,3.5850
34.665,3.5850
34.666,3.5916
34.685,3.5916
34.687,3.5982
34.705,3.5982
34.707,3.6049
34.726,3.6049
34.726,3.6115
34.746,3.6115
34.748,3.6182
34.765,3.6182
34.766,3.6250
34.785,3.6250
34.787,3.6317
34.805,3.6317
34.807,3.6385
34.825,3.6385
34.827,3.6453
34.846,3.6453
34.847,3.6521
34.866,3.6521
34.868,3.6590
34.885,3.6590
34.886,3.6658
34.906,3.6658
34.907,3.6727
34.925,3.6727
34.926,3.6797
34.945,3.6797
34.947,3.6866
34.964,3.6866
34.965,3.6936
34.986,3.6936
34.987,3.7006
35.006,3.7006
